 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.9895808	0.002217286	0.0015007115	0.0034073773	0.0010617229	0.0016350357	0.00059716444
c	0.9975077	0.0017411922	0.00018516404	7.2770024e-05	0.00017179296	0.00014012684	0.00018122281
h	0.6337338	0.31391776	0.030486867	0.002266598	0.012924442	0.006188535	0.00048198312
a	0.17550601	0.7340958	0.05685266	0.0032598653	0.021324927	0.006487724	0.0024730077
n	0.5465081	0.42981264	0.003823655	0.0027416789	0.008464942	0.007322992	0.0013260624
a	0.15082122	0.7768788	0.06438411	0.0010180228	0.0037306575	0.0010257416	0.0021415683
v	0.034990292	0.84870404	0.10831177	0.0020883682	0.0035436568	0.0019479501	0.00041377422
o	0.09229084	0.5275643	0.084514104	0.034500446	0.12080382	0.05544178	0.0848847
r	0.029886734	0.26348996	0.69222665	0.007569693	0.004362551	0.0017689256	0.0006954461
à	0.06799798	0.2122349	0.2375852	0.11873269	0.10563697	0.082021214	0.17579098
s	0.018466918	0.17174116	0.7618013	0.009576544	0.024177713	0.0114376005	0.0027986963
o	0.025413478	0.22758773	0.6870422	0.046499558	0.00694106	0.0023104378	0.0042054295
t	0.031249039	0.096415445	0.798321	0.03283781	0.026624803	0.009364805	0.005187068
o	0.0074375365	0.02818784	0.66505367	0.2588607	0.021961048	0.008963244	0.009535975
t	0.038765926	0.14149003	0.4555216	0.1113845	0.16731182	0.05556794	0.029958064
s	0.0054423297	0.009166301	0.23026527	0.6944595	0.032985877	0.014456944	0.013223803
o	0.010546834	0.025028186	0.07271167	0.70599407	0.084659375	0.046040334	0.055019602
m	0.02061219	0.015489895	0.102637194	0.09918489	0.26061493	0.21048735	0.29097354
ì	0.00150953	0.0026537152	0.021375094	0.80780834	0.091556124	0.03183876	0.043258473
k	0.012041072	0.04166501	0.06585323	0.07641603	0.44035363	0.25934854	0.104322426
à	0.0079417145	0.019345248	0.043710455	0.45734677	0.20653006	0.1499648	0.11516101
i	0.01024387	0.027891548	0.029806301	0.05827052	0.44274575	0.3422266	0.08881541
m	0.001130708	0.008819638	0.010355144	0.027464699	0.2926554	0.52847975	0.13109465
è	0.0023528277	0.0049099913	0.011116494	0.101110674	0.34418705	0.42997304	0.1063499
r	0.007935074	0.064718746	0.0551994	0.035973396	0.20418012	0.58270377	0.04928947
i	0.0083819525	0.012741928	0.013992965	0.07322723	0.15632696	0.5967154	0.13861355
</S>	0.014715729	0.017570188	0.01709982	0.01578988	0.036576886	0.12854452	0.769703
