 	non	li	aspettiamo	più	</S>
e	0.995112	0.00066380855	0.00096400635	0.0021772939	0.0010829191
t	0.18242888	0.78219604	0.002294809	0.009301267	0.023778938
u	0.024943864	0.48067674	0.048144266	0.10281531	0.34341988
s	0.087207444	0.8467905	0.021849928	0.02454956	0.019602593
m	0.09490334	0.1681865	0.15418231	0.14021398	0.44251376
è	0.12151202	0.41655567	0.30831197	0.13621853	0.01740177
n	0.005637112	0.5532461	0.06417531	0.3379488	0.038992703
u	0.08804961	0.15557027	0.37456286	0.32632214	0.05549509
m	0.084964864	0.07730634	0.36612886	0.4474737	0.024126312
e	0.003698241	0.055457775	0.029244693	0.876089	0.03551035
p	0.021171054	0.024595756	0.00939088	0.7763002	0.1685421
l	0.006238631	0.02049074	0.016112719	0.8218757	0.13528223
è	0.0043535787	0.014612764	0.003922623	0.7145161	0.262595
o	0.19894834	0.06941105	0.06892613	0.5626569	0.10005758
</S>	0.052859012	0.03542402	0.02278675	0.43733004	0.4516002
