 	devo	pulire	l	albero	</S>
è	0.9973072	0.001157822	0.00072957797	0.00044411223	0.00036116727
n	0.79727185	0.19166088	0.004370012	0.0018434379	0.004853849
a	0.28733686	0.70408994	0.0039470242	0.0019153445	0.0027108595
k	0.6351984	0.35877454	0.0047370745	0.0011050974	0.0001849177
a	0.07529359	0.89861214	0.010700856	0.008550359	0.0068430705
t	0.5032377	0.3903395	0.10059372	0.0045568855	0.0012721531
à	0.0631138	0.85335207	0.024070991	0.016979305	0.04248388
r	0.15953654	0.49782902	0.32138923	0.015588615	0.0056565865
o	0.07933051	0.5539086	0.21203302	0.14920866	0.0055192197
t	0.09624914	0.09230575	0.7234853	0.079282016	0.008677787
o	0.010888927	0.08724986	0.53588617	0.35901576	0.0069592595
n	0.031735856	0.10814842	0.61603653	0.22511503	0.01896414
à	0.0053461185	0.039233528	0.20945212	0.72722083	0.018747345
r	0.05452992	0.23773384	0.39863688	0.29590723	0.013192185
b	0.009983786	0.043674193	0.16855611	0.7568468	0.020939162
u	0.0009311449	0.016339878	0.09498652	0.8407085	0.047033932
r	0.016555823	0.07129001	0.12101172	0.41441986	0.3767226
o	0.0045211553	0.016594395	0.053720713	0.8217249	0.10343884
</S>	0.033057373	0.08403845	0.1162913	0.13004377	0.6365691
