 	non	mi	aspetti	non	vengo	</S>
m	0.9386941	0.025713664	0.0089280335	0.011432767	0.0051110433	0.010120301
ì	0.0069070538	0.00024745282	0.0016759022	0.0015669431	0.98388267	0.0057200743
m	0.7526369	0.05794024	0.024961105	0.018272296	0.1369952	0.009194286
e	0.15369351	0.0057549193	0.0018831308	0.0024826303	0.83429253	0.0018932507
m	0.6252566	0.29778123	0.0040150844	0.05920087	0.0074297376	0.0063165296
ì	0.004737461	0.0061159385	0.00064017053	0.005117017	0.9789917	0.004397686
n	0.4292193	0.08403477	0.010007886	0.38966832	0.059336565	0.027733214
i	0.04320209	0.095277295	0.032093283	0.2724326	0.5427928	0.014201999
e	0.028366884	0.102886945	0.04297017	0.74941325	0.032867506	0.043495223
n	0.003861988	0.004763344	0.048926633	0.815762	0.11115391	0.015532055
è	0.02171078	0.023045609	0.035012174	0.16404241	0.68038213	0.07580693
r	0.09897702	0.05583406	0.049863596	0.2738138	0.4328748	0.08863671
k	0.04508884	0.06842871	0.04359573	0.20461047	0.40357772	0.23469856
o	0.03231595	0.061861724	0.11598217	0.16860029	0.11059491	0.5106449
m	0.008477404	0.07191686	0.13194443	0.08896422	0.054652173	0.6440449
e	0.0030040292	0.007088508	0.04293955	0.14008321	0.6761422	0.13074246
</S>	0.012529294	0.07641212	0.091263935	0.087624155	0.02390239	0.7082681
