 	voglio	che	Maria	venga	domani	</S>
i	0.9808396	0.0018265565	0.0019458934	0.005440818	0.0071850107	0.0027621572
t	0.9188679	0.02823511	0.047835074	0.0037008752	0.00069606217	0.00066501176
è	0.4961073	0.3489358	0.09650297	0.047063705	0.00583403	0.005556281
l	0.32283577	0.5110154	0.158821	0.006669055	0.00059201254	6.6841836e-05
o	0.049004674	0.40300575	0.53927064	0.007349697	0.0011781651	0.00019102635
i	0.29445833	0.6745924	0.028015519	0.0020740873	0.0006715686	0.00018820002
M	0.01091566	0.24401426	0.70757574	0.034146324	0.002552407	0.00079556805
a	0.15171573	0.08659096	0.3468583	0.40432242	0.0042713447	0.00624129
r	0.12299119	0.719287	0.12866463	0.026562873	0.0018126986	0.00068159384
ì	0.11055014	0.38550183	0.122212864	0.2361755	0.12248254	0.023077153
a	0.21179137	0.4665504	0.29800612	0.020435333	0.001466177	0.0017507139
n	0.17777385	0.48843202	0.26734477	0.056432802	0.0077578016	0.0022588582
a	0.024747856	0.19636698	0.3406327	0.3586091	0.06961625	0.010027105
r	0.18617512	0.32776445	0.42012614	0.038716983	0.014950936	0.012266274
t	0.013543388	0.04896078	0.24153788	0.3303258	0.34343314	0.022198936
i	0.008176125	0.058248673	0.11302207	0.14746615	0.64743453	0.025652496
à	0.28869796	0.31738758	0.25588915	0.02845129	0.05637885	0.05319519
v	0.0032610435	0.013964851	0.036502045	0.08327527	0.85891044	0.0040864046
v	0.0024082272	0.027081437	0.09287136	0.08057436	0.7877128	0.009351841
r	0.0043168864	0.029457375	0.05590113	0.043526214	0.8167879	0.050010532
i	0.0064871614	0.061777476	0.080066375	0.044696618	0.75140303	0.055569384
</S>	0.09287405	0.097878255	0.10498329	0.055620715	0.09301132	0.55563235
