 	voglio	che	Maria	venga	domani	</S>
i	0.9808396	0.0018265565	0.0019458934	0.005440818	0.0071850107	0.0027621572
t	0.9188679	0.02823511	0.047835074	0.0037008752	0.00069606217	0.00066501176
è	0.4961073	0.3489358	0.09650297	0.047063705	0.00583403	0.005556281
l	0.32283577	0.5110154	0.158821	0.006669055	0.00059201254	6.6841836e-05
o	0.049004674	0.40300575	0.53927064	0.007349697	0.0011781651	0.00019102635
n	0.29445833	0.6745924	0.028015519	0.0020740873	0.0006715686	0.00018820002
a	0.024858931	0.37349427	0.5256174	0.07120658	0.004551786	0.00027105468
r	0.38066524	0.5705201	0.03460706	0.011453241	0.0017536423	0.0010007144
t	0.03396581	0.2519922	0.36228037	0.2661243	0.07558245	0.010054962
i	0.02247972	0.21421008	0.15287976	0.5505924	0.0482037	0.011634307
à	0.3036425	0.40225238	0.15288281	0.12834334	0.0032260264	0.009652875
v	0.013905743	0.013446274	0.08394965	0.8369426	0.046371046	0.005384617
v	0.004118016	0.0976648	0.12121798	0.632182	0.1442694	0.00054778863
r	0.0068359	0.04880255	0.04877654	0.48782742	0.39710653	0.010651007
i	0.007135756	0.05679795	0.052795775	0.4057859	0.45849922	0.018985374
i	0.24599373	0.25969672	0.24570563	0.058097806	0.13512175	0.0553844
M	0.017183386	0.023761872	0.0585914	0.24723294	0.63791865	0.015311745
a	0.20270327	0.18056636	0.21579017	0.16054758	0.23415993	0.006232676
r	0.05664481	0.15284824	0.35421428	0.15684873	0.23575045	0.04369344
ì	0.014439398	0.08960618	0.26026016	0.16916315	0.3877812	0.078749835
a	0.10737251	0.1859486	0.3678229	0.19028535	0.10613932	0.042431366
</S>	0.035559338	0.08662345	0.19487387	0.1980566	0.06596092	0.41892576
