 	non	ho	dove	d	andare	</S>
e	0.9951303	0.00074424985	0.0009072168	0.0005789116	0.0015817118	0.0010575391
n	0.8976738	0.046310347	0.02396696	0.02286331	0.0019328503	0.0072528287
è	0.060139738	0.81451243	0.076742865	0.027016422	0.0051618605	0.01642667
c	0.42597356	0.41064343	0.12320837	0.02554892	0.0028030844	0.011822613
h	0.05075542	0.6084591	0.31065625	0.028552765	0.0011947126	0.00038170433
o	0.0279755	0.037593253	0.7042972	0.22664908	0.0011281518	0.002356767
p	0.022597194	0.10133752	0.5732618	0.3003593	0.0018168043	0.00062728487
u	0.009123442	0.016048322	0.5933743	0.34806007	0.016859632	0.016534219
è	0.04693726	0.017895065	0.1308335	0.7697578	0.028882261	0.0056941034
n	0.06770768	0.039610527	0.2301118	0.37998202	0.2722646	0.010323332
a	0.038018387	0.037249405	0.2609914	0.5950521	0.064029776	0.004658951
p	0.008768405	0.029298415	0.03323798	0.04130548	0.84217805	0.04521164
à	0.002085164	0.0017118639	0.0102144545	0.025103047	0.90113884	0.05974658
o	0.024190301	0.04095803	0.06840147	0.094838805	0.7229441	0.04866726
</S>	0.030556474	0.006839733	0.02483831	0.08232931	0.2488174	0.60661876
