 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.98601276	0.0032435528	0.005064152	0.00070049113	0.0018722916	0.00042360238	0.0013068378	0.00043303106	0.0009432505
j	0.68131	0.3183185	1.812518e-05	6.047981e-05	0.00018266127	4.774133e-05	3.1094154e-05	1.7977063e-05	1.3509499e-05
i	0.24187243	0.75185287	0.0015110334	0.00080745574	0.0012343121	0.00016414067	0.0016113486	0.00011362137	0.0008328532
n	0.28667727	0.71178705	0.0011879697	0.000103304264	0.00016328774	2.1008382e-05	3.2009342e-05	1.8418057e-05	9.603516e-06
è	0.22088161	0.7289593	0.004202058	0.00454312	0.018945895	0.0015096546	0.00935531	0.00063308526	0.010969886
k	0.0908013	0.84216994	0.06506664	0.0011318187	0.0007452621	1.3107107e-05	3.279389e-05	2.2750028e-05	1.6338887e-05
a	0.15069774	0.7868412	0.05041676	0.003734091	0.0029777088	0.0018388686	0.0020431208	0.00025650684	0.0011940866
p	0.08608158	0.19594488	0.7126194	0.0046698074	0.00049634476	6.792492e-05	4.0858446e-05	7.0285634e-05	8.896531e-06
u	0.028892597	0.49050146	0.42648324	0.018518897	0.024948243	0.00022957385	0.0100793345	7.342815e-05	0.00027334617
l	0.015219805	0.1407999	0.7856915	0.054868825	0.0031620546	0.00010847299	0.00012978629	1.6438466e-05	3.1487355e-06
i	0.029492244	0.26237163	0.51168	0.076233834	0.08333927	0.0016090141	0.030057503	0.00030635032	0.004910202
z	0.028658163	0.11020416	0.43558472	0.4199909	0.0040020472	0.00091286574	0.0006016161	2.4564784e-05	2.1012958e-05
z	0.032956295	0.16300957	0.55554366	0.1159912	0.085136965	0.004262488	0.030324996	0.00035498617	0.01241985
è	0.03524262	0.11415424	0.20139179	0.34423378	0.26369247	0.0044172425	0.032627754	0.00058308296	0.003657009
i	0.019188313	0.034024768	0.27907452	0.63686675	0.025597787	0.0042685075	0.000521266	0.00014711863	0.00031100435
o	0.0038548799	0.033074133	0.20874254	0.6230822	0.097775966	0.014222535	0.018844673	2.9327945e-05	0.00037375465
s	0.006501096	0.09393702	0.1648944	0.47669935	0.19933738	0.0357994	0.022040717	7.755139e-05	0.00071311794
p	0.0054351166	0.035690762	0.012394668	0.31473774	0.5977537	0.0077876397	0.024774477	0.00026388545	0.0011619224
ì	0.006805998	0.22669834	0.061528638	0.13800764	0.3670198	0.07711098	0.10319464	0.005931081	0.013702947
t	0.010991777	0.037414066	0.05067214	0.42815715	0.34814957	0.10944687	0.0146022765	0.00024500425	0.00032110498
i	0.0039608395	0.016165474	0.019692771	0.11914187	0.7024912	0.09367404	0.04327082	0.0011619604	0.00044096986
o	0.020491434	0.029858774	0.03093092	0.08660884	0.11589163	0.622521	0.07800632	0.005388657	0.010302371
à	0.0013794563	0.0099058	0.0070500663	0.030082585	0.06918491	0.39327747	0.47877946	0.0065531693	0.0037872042
n	0.0060577933	0.05845464	0.039319452	0.043481313	0.21025155	0.21933205	0.4148989	0.0067994436	0.0014048376
t	0.0021472797	0.014000557	0.012381901	0.025766786	0.21782944	0.24450614	0.4698375	0.011770185	0.0017602941
r	0.0033120676	0.018657893	0.019229181	0.034463655	0.05147841	0.23848368	0.57340044	0.040861763	0.020112889
e	0.0018583675	0.031186247	0.016854744	0.04779052	0.17047748	0.27098858	0.4072918	0.010861934	0.042690273
p	0.011811382	0.012833771	0.012669929	0.01546753	0.015965562	0.06752382	0.07306577	0.6690312	0.12163102
o	0.00039602854	0.011995654	0.002708347	0.0064711603	0.059330475	0.060940996	0.6501214	0.12540469	0.082631275
d	0.009173123	0.012060354	0.011490051	0.017831178	0.012334148	0.0675374	0.05803554	0.5049336	0.30660462
è	0.00068904576	0.012499144	0.0029569303	0.006243572	0.051882632	0.027798707	0.2816405	0.5050633	0.11122617
g	0.00932226	0.018461797	0.018563364	0.03740324	0.018275203	0.092825636	0.06238026	0.47826988	0.26449838
g	0.0017016669	0.027494796	0.013247922	0.025632659	0.06274123	0.0548396	0.23039243	0.40640244	0.17754732
h	0.0030435198	0.03477656	0.02646895	0.040096994	0.031925388	0.06905638	0.48127633	0.12421883	0.18913701
e	0.009595008	0.06227746	0.061965656	0.063693754	0.08382325	0.09717682	0.3424107	0.16825053	0.110806815
</S>	0.0075063044	0.008935307	0.008497329	0.0111344475	0.008560741	0.02411832	0.018734535	0.15393591	0.7585771
