 	vengono	vestiti	</S>
è	0.9816901	0.013680379	0.004629456
r	0.9892758	0.0041370303	0.006587135
k	0.99339974	0.0057056397	0.000894635
u	0.62529093	0.08989402	0.28481507
t	0.035295743	0.93148845	0.033215784
t	0.72130173	0.18836892	0.09032932
e	0.14413683	0.48781034	0.36805287
n	0.0064488123	0.77616394	0.21738733
d	0.03494836	0.84175587	0.12329579
i	0.028909992	0.65394765	0.3171424
m	0.015841976	0.25372538	0.7304326
è	0.026946748	0.15228774	0.82076555
n	0.033574488	0.83501637	0.13140905
a	0.45311463	0.21054432	0.33634105
</S>	0.033037487	0.09493435	0.8720281
