 	perché	aveva	lavorato	molto	</S>
j	1.0550236e-05	1.290527e-05	0.00010964805	0.0041799163	0.99568695
a	0.3761054	0.18813476	0.28385648	0.14862686	0.0032765754
t	0.8560575	0.13775073	0.0013431831	0.0048144925	3.3995577e-05
ì	0.29063725	0.5513464	0.10181945	0.052871265	0.0033256675
ì	0.75633776	0.22266062	0.009396093	0.011476712	0.00012880149
c	0.86581963	0.12737583	0.00015037663	0.0066533284	7.012101e-07
h	0.3124725	0.6716325	0.0052578356	0.010534969	0.000102234015
e	0.10030086	0.18787967	0.39421907	0.30606624	0.0115341535
p	0.054506104	0.3040092	0.025912073	0.6092271	0.0063455165
o	0.018925883	0.19141427	0.28221023	0.50156444	0.0058852048
l	0.032974597	0.3561902	0.10431484	0.4888129	0.017707437
e	0.018773073	0.16904035	0.62636477	0.16807505	0.017746788
m	0.0020651985	0.18426488	0.69298536	0.1029047	0.017779922
ì	0.057759207	0.2769606	0.5581169	0.0884373	0.018725898
s	0.0028430384	0.07110538	0.19666183	0.6831487	0.04624115
o	0.05135697	0.34821674	0.13481583	0.44090143	0.02470907
n	0.0001524549	0.024438063	0.2438939	0.3563724	0.37514317
t	0.000116977615	0.008893072	0.058366284	0.8191237	0.11349994
a	0.010263052	0.024993705	0.88067037	0.06638003	0.017692758
p	3.2688517e-05	0.006486539	0.049557775	0.36659154	0.5773315
o	0.0010918904	0.10868922	0.035318308	0.84415764	0.010742894
d	3.922227e-05	0.0023083547	0.049416307	0.5677721	0.38046396
d	0.0010428855	0.11516123	0.007799079	0.78318673	0.092810035
h	0.0031137662	0.0070928866	0.22705193	0.17653066	0.5862108
ì	0.008564636	0.018364664	0.9105738	0.05866574	0.0038311677
</S>	1.0936218e-05	0.00033623388	0.0045278603	0.31988356	0.6752414
