 	sul	muro	vuole	uno	specchio	</S>
s	3.197983e-06	1.1096571e-05	1.22009915e-05	2.432409e-05	0.012469948	0.9874792
t	0.025275888	0.86958486	0.0969165	0.0053514335	0.0027891926	8.210059e-05
o	0.9508789	0.03679623	0.0061154235	0.0061829803	2.623527e-05	2.1062081e-07
t	0.011843195	0.9302269	0.05228354	0.005602589	3.400359e-05	9.679541e-06
ì	0.001533528	0.65195423	0.14321917	0.014712528	0.1851846	0.0033958815
c	0.015195611	0.9089725	0.05989214	0.01562889	0.00029870812	1.2124821e-05
h	0.0013567234	0.68797547	0.06219529	0.23414241	0.014285108	4.5043937e-05
o	0.053941756	0.029988196	0.06567726	0.84519315	0.004904593	0.00029514404
t	0.00029148563	0.8358997	0.11987004	0.043162223	0.00062620646	0.00015038274
è	0.0021806434	0.2952223	0.03975548	0.015899166	0.6446619	0.0022804788
l	0.0057845726	0.76415807	0.143217	0.07198938	0.013408667	0.0014422867
i	0.0023853707	0.55449265	0.056065306	0.032474425	0.35310662	0.0014756075
o	0.003199688	0.43461755	0.40805417	0.055928886	0.08787352	0.010326158
j	3.791086e-05	0.08143783	0.11384437	0.7514331	0.04529932	0.007947485
a	0.00070235337	0.050308757	0.0073049185	0.0063408515	0.93337023	0.001972884
l	0.00022872683	0.14137387	0.24303131	0.009025748	0.573706	0.03263441
ì	0.0009301786	0.14354938	0.027521765	0.0036495323	0.8198006	0.004548544
</S>	4.713514e-05	0.040467385	0.04249662	0.034713257	0.5560004	0.32627523
