 	l	ho	sentito	che	veniva	</S>
o	1.5127418e-06	2.4483045e-06	9.8643584e-05	0.0006931311	0.0034128402	0.99579144
n	8.988501e-05	0.9753876	7.7322584e-05	0.014623524	0.009781503	4.0261257e-05
ì	0.011246944	0.6780896	0.01909513	0.088384114	0.198257	0.0049271835
k	0.0011943991	0.8201873	0.008633826	0.13355763	0.036130887	0.0002959321
u	0.0007711031	0.27747208	0.027444832	0.23971494	0.44304192	0.0115551185
s	0.0044656056	0.76389164	0.044556066	0.097362556	0.08377727	0.0059468676
a	0.00095026765	0.047969885	0.15002984	0.69897926	0.098609716	0.0034609602
k	0.006160088	0.42063156	0.10612405	0.36294025	0.08478458	0.019359479
a	0.0066905688	0.11791472	0.16988368	0.6044484	0.095158346	0.005904333
è	0.0026230887	0.15723883	0.075763635	0.5821603	0.1280329	0.054181267
r	2.0985528e-06	0.2752313	0.000832506	0.06193729	0.6604367	0.0015601243
k	0.0017949	0.06106054	0.13970207	0.5187365	0.27129385	0.0074121477
a	0.003674386	0.0007755738	0.8174052	0.17800565	0.00013405769	5.0316935e-06
t	3.4443556e-06	0.000554119	8.7171786e-05	0.0045318985	0.40279835	0.592025
o	0.002298381	0.062284824	0.035825953	0.5262085	0.34499988	0.028382448
</S>	6.459298e-06	0.00033282742	0.0004968658	0.028285945	0.27536413	0.6955138
