 	vuole	pianto	</S>
i	4.8219763e-06	0.0013151541	0.99868006
t	0.9957059	0.00097440195	0.0033197855
è	0.07501401	0.874159	0.05082701
l	0.9697807	0.00627221	0.023947062
i	0.30186787	0.68291014	0.015221945
k	0.51582205	0.036136866	0.4480411
l	0.009624369	0.98671144	0.0036643138
a	0.00015296658	0.99983263	1.438457e-05
m	0.029156195	0.00473011	0.96611375
m	0.017367234	0.97480565	0.007827123
è	0.0031614043	0.9968262	1.2457231e-05
n	0.01090596	0.0010232911	0.9880707
o	0.07709503	0.72984	0.19306494
</S>	0.00045068038	9.936869e-06	0.9995394
