 	ha	che	sono	usciti	</S>
è	1.5562277e-05	9.920573e-06	0.000404935	0.030078588	0.969491
n	0.15627849	0.10773576	0.0003211952	0.7350616	0.00060294324
a	0.020654736	0.12392534	0.17042205	0.66524696	0.019750884
g	0.117139675	0.8102978	0.05893558	0.008969456	0.0046574795
u	0.0009999634	0.051629502	0.2301793	0.7169965	0.00019467245
ì	0.11500208	0.7402726	0.061891705	0.036506813	0.04632686
k	0.002471965	0.022818908	0.0030354392	0.9711572	0.0005165707
a	0.012243325	0.0634638	0.43362108	0.4578711	0.03280073
n	0.0032733358	0.16302834	0.45568374	0.119675726	0.25833887
e	0.0010969164	0.01727723	0.7263355	0.24098504	0.014305279
</S>	0.0002751459	0.00978207	0.07872121	0.11064708	0.80057454
