 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	6.53602e-06	7.35012e-06	1.14769e-05	2.4563e-05	0.000205889	0.00176092	0.0470418	0.950941
ì	0.00136177	0.156732	0.780612	0.0590737	0.00218152	3.12056e-05	8.48192e-07	6.96085e-06
n	0.000744913	0.116864	0.847997	0.0327448	0.00162104	7.97565e-07	3.88306e-09	2.72037e-05
i	0.000144881	0.0879364	0.680834	0.207442	0.0229159	0.00068549	4.67556e-06	3.64298e-05
e	0.000274045	0.0801916	0.855365	0.0627257	0.00139956	1.91767e-05	1.11459e-07	2.4698e-05
n	9.50183e-06	0.231605	0.610638	0.128291	0.0293728	7.08663e-05	5.71909e-07	1.17496e-05
è	0.00374855	0.143437	0.464288	0.279564	0.0727122	0.0296075	0.00504939	0.00159411
r	0.00375997	0.19306	0.447408	0.248274	0.106001	0.00141919	1.23676e-05	6.48727e-05
k	0.00283534	0.135368	0.439887	0.140185	0.148407	0.123277	0.00957327	0.000467945
o	0.756724	0.115822	0.010037	0.0306216	0.0395982	0.0432074	0.00382837	0.000161396
t	7.61033e-05	0.0222349	0.70655	0.247679	0.0213431	0.00117465	3.35302e-05	0.000908719
t	0.00104485	0.0759746	0.537843	0.119709	0.0663832	0.104571	0.0861392	0.00833524
e	0.362484	0.0660171	0.0127185	0.0611251	0.199452	0.28774	0.0103583	0.000104767
e	4.10998e-05	0.014953	0.631195	0.30309	0.0446876	0.00276082	0.000204086	0.00306778
t	2.73818e-05	0.0418618	0.298413	0.213789	0.428224	0.00749979	0.00294106	0.00724391
u	0.00223664	0.0372461	0.0667923	0.0420514	0.0611623	0.214851	0.564796	0.0108646
s	0.000150647	0.0247529	0.261503	0.375895	0.282848	0.0371525	0.00417242	0.0135259
m	0.00044088	0.0285266	0.236109	0.0667644	0.0475339	0.154646	0.453762	0.0122177
è	0.0330297	0.0219298	0.0101943	0.0217473	0.142389	0.688838	0.0816828	0.000188773
n	3.22235e-05	0.0025726	0.0666708	0.105505	0.247746	0.0262307	0.0431337	0.508109
o	3.99433e-06	0.00394097	0.113317	0.0428809	0.0493167	0.137961	0.643958	0.00862102
m	1.10686e-05	0.00249625	0.107028	0.157845	0.11909	0.0165164	0.0215707	0.575442
e	0.00130128	0.0411111	0.36612	0.0848459	0.0443479	0.13415	0.32432	0.0038033
t	3.31373e-06	0.00156138	0.0355072	0.0686932	0.167363	0.0538528	0.089593	0.583426
r	0.000312158	0.0154536	0.190776	0.0534717	0.0453679	0.144895	0.542692	0.0070311
ò	0.00180952	0.00175653	0.00141181	0.00470844	0.0445027	0.316289	0.628596	0.000925817
m	7.46396e-07	4.9815e-05	0.00232283	0.00229789	0.00557487	0.000846884	0.0157399	0.973167
e	0.000283043	0.0220827	0.197337	0.0490216	0.0137437	0.0700235	0.636237	0.0112712
</S>	1.75304e-07	0.000169737	0.0032106	0.00441517	0.0200619	0.00960709	0.0540004	0.908535
