 	i	genitori	non	li	dimentichiamo	mai	</S>
u	9.838196e-07	9.310785e-06	1.5494174e-05	7.808184e-05	0.0006988856	0.02180014	0.9773971
g	1.5959866e-05	0.5071369	0.09602328	0.3492055	0.044396307	0.0019752164	0.0012468981
e	8.854203e-05	0.6977271	0.18715839	0.11330699	0.0013097425	0.0003873002	2.1970161e-05
n	1.1365195e-05	0.7346671	0.24573791	0.019310415	8.835481e-05	4.280219e-05	0.00014196451
i	6.760724e-05	0.71430916	0.24189979	0.03601209	0.005420104	0.0021816695	0.00010957696
t	9.8252785e-05	0.5275636	0.33128572	0.14047265	0.0002430732	0.000112533024	0.00022427809
ò	0.001992497	0.41780883	0.11937647	0.084378816	0.29845816	0.07465119	0.0033340147
r	0.0001210222	0.31580317	0.117731005	0.561354	0.0033435544	0.0013425532	0.00030475928
u	0.0008867608	0.18636657	0.08437606	0.063675635	0.61555046	0.04789294	0.0012515796
e	0.0003521943	0.32205805	0.41187805	0.25797662	0.0011328979	0.002830043	0.0037721798
n	6.0186494e-07	0.6121966	0.18103781	0.10250051	0.09245907	0.005499189	0.006306204
è	0.00047874008	0.099534795	0.044230178	0.036770463	0.37326565	0.43693522	0.008784983
n	4.4170038e-06	0.06979608	0.05664327	0.7267441	0.016261723	0.12376276	0.0067875567
u	1.4835178e-06	0.0019141613	0.0036801083	0.0059044273	0.49142224	0.4961194	0.00095817423
s	2.3527278e-05	0.12900397	0.23348309	0.2700255	0.005250785	0.17935485	0.1828583
s	4.6142868e-05	0.024976188	0.04595091	0.07861547	0.11500437	0.729992	0.0054149
c	0.006025865	0.03522667	0.03378891	0.20411551	0.60020584	0.11915187	0.0014853883
e	0.002713648	0.017469266	0.018481972	0.1313762	0.47812137	0.349721	0.0021165356
r	8.8289395e-05	0.06478908	0.11980392	0.066586874	0.0020312003	0.29126337	0.45543727
r	6.5100176e-05	0.031462066	0.06945178	0.16323356	0.045016985	0.689663	0.0011075692
è	0.0020429916	0.027307855	0.029039105	0.1425179	0.5354566	0.25418848	0.00944704
t	1.7243603e-07	0.0005949634	0.0010112748	0.0023704306	0.00027147605	0.82164055	0.17411116
s	0.00019015658	0.026961032	0.0338626	0.020253902	0.107785515	0.7949672	0.01597958
u	0.004409016	0.01527493	0.01939366	0.08507574	0.30526328	0.56821406	0.0023693126
m	5.5555297e-08	0.0008990716	0.0020408118	0.0029434785	0.00022380111	0.2728144	0.7210784
e	0.000540099	0.037950695	0.07536781	0.08441728	0.023074703	0.77429205	0.004357341
m	1.3181376e-08	0.00071558583	0.0011197345	0.0026749987	0.0005220356	0.371231	0.6237366
à	0.00020970793	0.00558217	0.008898149	0.016538778	0.031046933	0.91457486	0.023149393
i	7.468e-10	7.1589064e-05	3.8975453e-05	0.00019522084	0.0007301632	0.92293227	0.07603176
</S>	1.3340194e-10	0.00019158675	0.00017222895	0.00047274271	0.0037956086	0.3101288	0.685239
