 	nella	pasta	vuole	sale	</S>
s	6.4837695e-06	6.590373e-06	1.0063188e-05	0.010372439	0.9896045
t	0.65299135	0.2200323	0.12407875	0.0028615168	3.6156096e-05
i	0.86449534	0.070125535	0.06273454	0.0026413307	3.319655e-06
p	0.548459	0.25882724	0.19211327	8.054508e-05	0.00051999424
à	0.014507154	0.20108378	0.7672253	0.015935818	0.0012478469
s	0.53172886	0.26647046	0.20041093	0.00023909946	0.001150666
t	0.113733076	0.1920554	0.39466482	0.2979362	0.0016104273
a	0.0048462404	0.00045952664	0.0012229888	0.9914722	0.0019990532
t	0.014041775	0.3227764	0.6568945	0.0001039421	0.006183365
è	0.038091965	0.034155283	0.043100007	0.8783748	0.0062779523
l	0.096399866	0.38535866	0.4586716	0.0027837988	0.056786112
i	0.07495384	0.10466436	0.17047389	0.6402463	0.009661614
à	0.0086192135	0.2593905	0.53978264	0.007906547	0.18430115
l	0.0025907187	0.08339603	0.89243484	0.000598823	0.0209795
a	0.0100509925	0.011129296	0.0175206	0.95793074	0.0033683307
</S>	0.0006752703	0.015356922	0.032573853	0.018907934	0.93248606
