 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
e	0.00034306984	9.1688926e-05	4.7883368e-05	0.0011226118	0.0005454028	0.0011894926	0.0023899858	0.0012634026	0.0043681874	0.015210745	0.07480868	0.17279936	0.72581947
s	0.99959844	0.00030620015	6.919001e-08	2.0911237e-05	8.028517e-06	6.119887e-05	2.731576e-06	2.0068574e-06	3.6899948e-07	2.4270739e-09	1.1761712e-08	1.3973473e-09	2.4447744e-10
t	0.98293006	0.015072936	0.00018514812	0.0007355317	5.78338e-05	0.0006465294	0.00026165086	8.2664184e-05	1.7396069e-05	9.182825e-06	5.2054367e-07	5.312739e-07	2.6492676e-08
è	0.91232526	0.0660648	0.018771756	0.00043892956	0.00067088334	0.0014894862	0.0001320438	9.327328e-05	7.772799e-06	5.558631e-06	1.0894268e-07	1.6183744e-08	1.6962738e-09
o	0.9999397	5.8640413e-05	1.6184195e-07	3.369951e-07	1.4976872e-07	8.4353405e-07	1.2226356e-07	9.187033e-08	9.92758e-09	1.7028695e-08	3.5261735e-10	2.875226e-09	6.25667e-10
s	0.98062676	0.0022096045	5.9057347e-06	0.0011809774	0.00076034124	0.013429756	0.0008656216	0.0007448122	0.00017433047	1.2985196e-06	6.2445287e-07	3.558716e-08	1.4191027e-09
t	0.022340497	0.0594048	0.008053394	0.22040305	0.15055904	0.26761252	0.14533421	0.07290711	0.02011246	0.026794208	0.001818416	0.0044233827	0.00023691694
o	0.0070327194	0.56094706	0.3473155	0.01101684	0.058725867	0.013665434	0.0006160108	0.0005109237	3.4161334e-05	0.00013209722	1.5373356e-06	1.3789632e-06	4.8248904e-07
t	0.797605	0.028875643	0.00219121	0.011591811	0.0076986407	0.111512914	0.019512262	0.014028899	0.0018795932	0.0049623367	0.00010291854	3.1102736e-05	7.752324e-06
e	0.050553758	0.018228691	0.0021047017	0.27885216	0.063154966	0.2258093	0.14448707	0.041627634	0.030786436	0.07900412	0.030620411	0.030138902	0.0046318346
l	0.56332207	0.10805401	0.0036709798	0.08176142	0.013577815	0.14368282	0.042181797	0.027255585	0.0049801874	0.011010802	0.0004734881	1.9513129e-05	9.51052e-06
è	0.019920448	0.014557371	0.0015137206	0.24086383	0.06205618	0.25340793	0.15897839	0.049432725	0.032329172	0.10296495	0.024725497	0.03385042	0.0053994143
f	0.47718945	0.061933342	0.0004940484	0.083133556	0.024572758	0.23439363	0.034778353	0.04353412	0.030501964	0.008002871	0.0014572829	7.550117e-06	1.1234487e-06
o	0.01971844	0.0059089176	0.0018037412	0.07173932	0.089583725	0.37512833	0.16477267	0.06501295	0.04364251	0.056457896	0.021543298	0.08184579	0.0028423935
n	0.009019299	0.009729104	0.0018479445	0.08291716	0.015096967	0.42980462	0.20167682	0.124316335	0.046573475	0.07334965	0.0054946793	0.000114371935	5.9614325e-05
o	0.00015503929	0.00013521542	1.7627386e-05	0.022230646	0.011170769	0.19776863	0.20642789	0.08458932	0.08271543	0.26881376	0.0400488	0.0834547	0.0024721858
e	0.008457967	0.006432242	0.00024010846	0.1257143	0.010594785	0.2788804	0.2031469	0.14719513	0.11679237	0.07771885	0.024660269	0.00011645053	5.0159364e-05
a	0.014072174	0.0035779835	2.046104e-05	0.16897185	0.018322568	0.44480255	0.13300143	0.09662809	0.10468633	0.0026046846	0.013137716	0.00014147878	3.264182e-05
d	0.04485888	0.0061353743	1.7807715e-05	0.28530508	0.01681292	0.31703636	0.13232423	0.07873812	0.096873745	0.0040612374	0.017712587	9.5447416e-05	2.8172713e-05
r	0.0039129	0.00081158284	0.00031724203	0.041081313	0.026341883	0.18150401	0.104340084	0.057983797	0.15406646	0.089482866	0.13218217	0.20689423	0.0010814125
e	0.0005730697	0.013402435	0.011006107	0.10273922	0.18581204	0.36927736	0.11572452	0.07672089	0.036669113	0.06833303	0.018910687	0.0006969081	0.00013462848
f	0.0012285417	0.0021443074	0.0010750999	0.07379188	0.0052967095	0.12431372	0.22560231	0.12665685	0.1429211	0.19793794	0.08528245	0.009312306	0.004436748
f	0.0027602916	0.0007784602	5.1135183e-05	0.047314353	0.0036959653	0.030235333	0.055560607	0.025037969	0.09474633	0.15451631	0.52832913	0.056219403	0.00075474556
ì	0.0005041877	0.015250793	0.011803188	0.10411525	0.15266721	0.27579495	0.10856049	0.07260705	0.06777946	0.14207949	0.04683828	0.0019271281	7.255731e-05
m	0.019970857	0.0015816495	8.4677e-05	0.031841893	0.0029401807	0.06051907	0.09516937	0.08349768	0.2702777	0.1813109	0.19491969	0.029658206	0.028228145
