 	vado	cercando	una	macchina	che	consuma	poca	benzina	</S>
p	3.78548e-05	0.00026861322	3.8530434e-05	0.00023599739	0.00027476795	0.0022295434	0.017152432	0.118606925	0.86115533
à	0.9207043	0.048841957	0.0005815424	0.028082559	0.0011522184	0.0005678819	5.3716238e-05	1.4753172e-05	1.0290611e-06
o	0.99891555	0.0008437566	1.179514e-07	0.00022633953	1.0191998e-05	3.930216e-06	1.36178e-07	6.5799735e-09	6.53789e-09
c	0.9446389	0.0004184143	9.041387e-06	0.046850473	0.007316651	0.0007048648	6.123192e-05	2.7500127e-07	1.09845715e-07
e	0.030953584	0.8528033	0.0018481864	0.04292896	0.058638893	0.010764427	0.0020344015	2.737012e-05	1.0653129e-06
r	0.9031867	0.002307757	0.0006308918	0.08333283	0.0067863627	0.003466621	4.1281623e-05	0.00012371107	0.0001239372
k	0.0036260975	0.05120334	0.008649757	0.42210382	0.24075054	0.24842404	0.014760731	0.009494203	0.0009874344
è	0.010420236	0.9717703	0.015926007	0.00012329478	0.0015863713	0.00017068	2.6967343e-06	3.5767977e-07	7.2348485e-08
o	0.95096546	0.038207896	6.488608e-05	0.00468818	0.002731745	0.00331553	1.8931087e-05	3.7470738e-06	3.7447521e-06
n	0.1033364	0.0020172056	4.321671e-05	0.70844966	0.15659463	0.004489178	0.025060961	5.384234e-06	3.3358187e-06
t	0.0006027572	0.006495236	0.033315394	0.35941702	0.2095038	0.14651297	0.039600607	0.19820747	0.00634472
a	0.005280655	0.7848144	0.16924505	0.0009598013	0.031611767	0.0072137737	0.00079380313	6.330189e-05	1.7378248e-05
è	0.016735842	0.030802157	0.0022838572	0.22661838	0.07958035	0.64182913	0.0011743852	0.00071655755	0.00025938757
n	0.4865744	0.04975432	9.0388145e-05	0.13438696	0.049331572	0.0059045656	0.2738673	5.0628885e-05	3.9850453e-05
a	0.002133825	0.0046114717	0.02728154	0.13218	0.16383433	0.07014352	0.13123043	0.46117535	0.0074094543
m	0.0024422058	0.042687878	0.00089377636	0.15248851	0.082603194	0.71536314	0.003062955	0.00033067644	0.00012763907
à	0.036077376	0.02068555	0.013007676	0.05421571	0.068562865	0.22999646	0.104017004	0.46593675	0.0075004953
k	0.009446473	0.10466903	8.591682e-05	0.07274896	0.10602784	0.61038786	0.09629477	0.00023608874	0.00010300947
i	0.010570573	0.002025157	0.0070052766	0.05644517	0.037464716	0.06292063	0.06442774	0.747925	0.011215665
n	0.00025206397	0.013904453	0.00023816714	0.21329558	0.037441373	0.7132352	0.015883034	0.003747122	0.002003004
a	3.1573697e-06	1.7094691e-05	7.62709e-05	0.019714048	0.010827253	0.056011237	0.03595628	0.8708949	0.006499819
k	0.00029793274	0.0055985088	6.342937e-05	0.20294623	0.045413986	0.66262084	0.07746715	0.003573613	0.0020182694
a	0.003291432	0.0024965976	0.0021256087	0.018350607	0.016925553	0.08118588	0.08904806	0.77983016	0.006746087
k	0.00011463634	0.006078492	6.0372193e-05	0.10183127	0.034235977	0.7754118	0.07520305	0.0049610594	0.0021032908
u	0.00659235	0.004193695	0.001342198	0.028931888	0.021619009	0.23164225	0.12062198	0.5816015	0.0034550717
n	8.09158e-05	0.004624019	4.075055e-05	0.08901533	0.024548415	0.7569681	0.10513937	0.012579088	0.0070040887
s	1.8311803e-06	6.612262e-06	1.4184996e-05	0.005095325	0.0025053234	0.029636214	0.024526628	0.9307013	0.007512685
u	0.0010475811	0.08370281	0.035393026	0.018407911	0.104198046	0.18528107	0.39840323	0.17189875	0.0016675765
m	9.366351e-05	0.0076109925	9.6703734e-05	0.115360424	0.013247856	0.659378	0.06297726	0.042425618	0.09880955
è	0.0070727137	0.0025551748	0.00086728914	0.02520636	0.012019782	0.1986328	0.049690887	0.70010024	0.0038547157
i	0.00072806014	0.0048441645	1.8248361e-06	0.021786384	0.004808287	0.24461232	0.65332115	0.026394734	0.043503117
o	0.0001781204	0.00022484128	8.309494e-07	0.041957397	0.006409449	0.017796658	0.8499907	0.013554681	0.06988736
l	0.00014612533	0.00033014655	1.6051819e-06	0.015810376	0.0057674074	0.040196102	0.89452416	0.01118505	0.032038968
ì	0.00010381496	9.8230434e-05	0.00031946835	0.0037172127	0.0026375405	0.010527497	0.025914257	0.9484716	0.008210356
b	0.00028439512	0.0011211504	2.6619105e-07	0.009695317	0.0016947412	0.09533347	0.8573371	0.018762715	0.015770722
e	0.0015665311	0.00014302786	0.00038093727	0.015180988	0.00573816	0.014295069	0.12325559	0.8351069	0.0043328656
n	1.0918171e-05	0.0037775235	3.38584e-05	0.013112375	0.0019695489	0.07959944	0.01889333	0.06687805	0.81572497
z	1.890959e-07	6.0069283e-07	2.4903156e-06	0.000742181	0.00028109038	0.0059465854	0.008437186	0.9616428	0.022946876
ì	0.0004419543	0.03169262	0.019375268	0.011256833	0.060074437	0.10082023	0.37343124	0.39119884	0.011708603
n	0.000171987	0.0013059704	5.4380257e-07	0.007894132	0.00028194935	0.029534996	0.06128513	0.06207688	0.83744836
a	2.277429e-06	1.4516464e-06	1.2618566e-05	0.0016078494	0.00039969367	0.0039372914	0.0044910894	0.98339266	0.006155035
</S>	1.6744258e-06	0.00012770826	9.841667e-07	0.0040234844	0.00036185782	0.025537914	0.013242491	0.044819623	0.9118842
