 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.000114656825	1.8121322e-05	1.285721e-05	1.2384898e-05	0.00015288503	0.022633743	0.9770553
ò	0.92457074	0.07403259	0.0013049215	5.5972254e-05	1.9278152e-05	1.6161985e-05	1.7035849e-07
p	0.9974101	0.0024008988	0.00018901234	3.8834514e-08	2.392259e-09	2.1383062e-08	8.14741e-09
u	0.93384916	0.043959778	0.008219784	0.007100021	0.0044336827	0.002425092	1.255974e-05
o	0.80299664	0.021146117	0.17566939	0.00010990661	1.1238208e-05	5.3965625e-05	1.2724397e-05
G	0.9898317	0.0022171282	0.007934105	1.3096772e-05	3.4575312e-06	4.8180397e-07	2.4556153e-08
i	0.13205944	0.025835488	0.021910137	0.2591308	0.50316525	0.057195183	0.0007036489
o	0.1310976	0.82310677	0.03874598	0.0067776106	0.00024713192	2.1184636e-05	3.6572733e-06
v	0.9734128	0.011264229	0.014924004	0.0002785728	0.00011210656	7.968357e-06	1.8648501e-07
à	0.18343936	0.29289913	0.030007802	0.14799361	0.22649597	0.11894014	0.00022394463
n	0.06222301	0.9020224	0.02869315	0.005753003	0.000977471	0.00031646513	1.4544731e-05
n	0.0015342975	0.0020480794	0.018306196	0.07708461	0.1783335	0.722374	0.00031933695
i	3.9415943e-05	0.05847862	0.010633976	0.808573	0.12151571	0.000706594	5.2598134e-05
j	0.004224648	0.054716565	0.88214463	0.014308	0.012647157	0.023998851	0.007960108
ù	0.10228301	0.015288037	0.038445085	0.25210798	0.5097653	0.075897716	0.006212857
r	0.01724298	0.8225809	0.05486836	0.029506758	0.028157746	0.04032442	0.007318984
i	0.0598867	0.008853133	0.10822261	0.2307294	0.4752404	0.11172848	0.0053393794
s	0.0014139909	0.14565071	0.26099405	0.062713884	0.075253576	0.28805196	0.1659218
e	0.010121858	0.0032574213	0.034923427	0.16795759	0.5038231	0.26964107	0.010275578
è	0.001322885	0.046468955	0.06162733	0.058036745	0.11899127	0.50933594	0.20421688
s	0.74937546	0.07232117	0.01619294	0.000528841	0.0061297156	0.15023543	0.0052163783
s	0.007665125	0.0028462682	0.02115985	0.13784738	0.53017	0.29500386	0.0053075226
u	0.0018497601	0.01171465	0.0039375797	0.28346536	0.6857785	0.012725279	0.0005288746
</S>	6.3743035e-05	0.0009304	0.001983943	0.0018849883	0.008580902	0.40560034	0.58095574
