 	non	aveva	cosa	a	fare	</S>
e	1.2703171e-05	1.4810635e-05	3.3672077e-05	0.00021775736	0.083867125	0.9158539
n	0.6822984	0.2675744	0.031137306	0.014894647	0.0037371537	0.0003580141
ì	0.026285963	0.6290182	0.25579786	0.08160578	0.0065969527	0.0006952978
c	0.07045361	0.34756187	0.42204854	0.14926526	0.010380174	0.00029051234
h	0.02127794	0.20340307	0.5905499	0.14428364	0.04036615	0.000119344644
e	0.021741277	0.34522316	0.5663244	0.055016264	0.005098983	0.0065958947
t	0.0015980398	0.19407578	0.7907767	0.008767762	0.003344836	0.0014368355
i	0.015319024	0.24343644	0.12368495	0.48323584	0.13304582	0.0012779539
k	0.010124468	0.36412925	0.4614893	0.11041783	0.026943563	0.026895553
à	0.020950833	0.22480534	0.09012565	0.39994827	0.25725192	0.006917977
m	0.000726992	0.01944618	0.05369083	0.17213833	0.6249048	0.12909286
i	0.022445424	0.38507998	0.24461912	0.19771339	0.14138444	0.008757625
</S>	0.00015734184	0.006241014	0.011252172	0.048046663	0.3287178	0.60558504
