 	l	ha	scritta	</S>
t	1.5321405e-06	1.5374897e-05	0.014121797	0.9858613
o	0.0018442873	0.6102163	0.34684923	0.041090164
è	0.0046430337	0.970562	0.019704692	0.0050902935
g	8.578221e-06	0.9832707	0.01648535	0.00023533196
r	2.4511995e-05	0.6698713	0.31856683	0.011537429
a	0.0006737908	0.17090136	0.017922157	0.8105027
t	5.2294668e-06	0.92318445	0.048563205	0.028247098
s	0.014695052	0.32232666	0.65591043	0.007067782
e	0.65787536	0.2830704	0.05725548	0.0017987334
</S>	7.272595e-05	0.017610451	0.15620464	0.82611215
