 	che	vende	buon	pane	</S>
k	3.394814e-06	3.6280014e-06	5.030911e-05	0.016279506	0.9836632
a	0.09139901	0.44945586	0.44558278	0.013200292	0.0003619556
i	0.065136366	0.86346614	0.07128537	6.217836e-05	5.0068367e-05
p	0.027519114	0.902552	0.06933175	0.0002916153	0.00030557407
u	0.0027123303	0.08579119	0.8971162	0.007984033	0.006396236
l	0.025149887	0.6508008	0.2941244	0.029382033	0.00054287445
ì	0.00444455	0.092720896	0.81636614	0.08372889	0.0027394982
t	0.0058677467	0.27076545	0.21021156	0.5090651	0.0040901285
s	0.010239431	0.18514402	0.75857157	0.0446461	0.0013988843
o	0.04688856	0.06886692	0.035429377	0.84387785	0.004937312
m	0.0021531184	0.04202625	0.518379	0.09219955	0.34524205
ì	0.03909276	0.115569726	0.81951404	0.023398563	0.0024249242
k	0.0006588247	0.0029818816	0.05831633	0.5017615	0.43628147
a	0.019363044	0.09521848	0.84416485	0.032857455	0.008396133
l	4.6092075e-05	0.0007457089	0.049331848	0.03719742	0.9126789
ò	0.014381478	0.048743073	0.64607805	0.18461612	0.10618126
</S>	1.7640752e-05	7.9406134e-05	0.0021949098	0.20378819	0.79391986
