 	le	ragazze	vogliono	guardate	</S>
t	5.9926965e-06	8.960064e-06	0.0018130477	0.021488741	0.9766832
a	0.014749033	0.98132974	0.0024601915	0.0003748009	0.0010862438
k	0.0017650749	0.99809664	1.0768478e-05	8.030289e-06	0.00011949138
o	0.00021902213	0.99896526	0.00037791877	0.00011572285	0.0003220771
r	0.0026927255	0.9966911	0.00017480431	8.910625e-05	0.00035232393
à	0.0045336643	0.83630794	0.093352295	0.046662237	0.019143809
s	0.0003182765	0.99955124	5.1513365e-05	1.3083616e-05	6.5855565e-05
i	0.0010852376	0.85532576	0.11902533	0.020210324	0.004353429
a	0.0055204453	0.9864806	0.0019063544	0.0021535347	0.003938897
t	1.8933687e-06	0.9998461	6.990702e-05	1.1345584e-05	7.0677255e-05
è	0.005945654	0.07443534	0.72037095	0.19542898	0.0038190912
l	0.0005935761	0.9958145	0.0007142074	0.0017935133	0.0010843592
o	0.0030009674	0.43701857	0.38410828	0.16760647	0.008265811
n	0.004023147	0.6473106	0.022028916	0.16598299	0.16065438
e	4.450349e-06	0.0029209952	0.0076294956	0.9676962	0.021748863
k	0.0009758444	0.59351397	0.014101273	0.2380768	0.1533321
a	0.0033087928	0.07451692	0.2563796	0.6587686	0.0070260097
n	0.0008236769	0.2022522	0.031755514	0.56464016	0.20052846
o	2.6436887e-06	0.0017845215	0.004103368	0.9749111	0.019198354
n	8.742671e-05	0.06868196	0.008403169	0.6198809	0.30294657
i	2.232172e-06	0.0011577944	0.0030726942	0.95621955	0.039547805
m	5.9472935e-05	0.017846657	0.0051747174	0.55821407	0.41870508
m	0.0023398707	0.01446446	0.17993736	0.80003166	0.0032267312
è	0.018303266	0.0067740115	0.8401364	0.13472997	5.6434426e-05
n	6.7349595e-07	0.00046261054	0.00024611552	0.21616107	0.7831295
a	4.3993846e-06	0.0008291239	0.0039410507	0.98984325	0.005382105
</S>	1.6497967e-07	0.0004504083	0.00015207117	0.07306248	0.92633486
