 	entrò	da	qui	</S>
m	0.016034018	0.00034620898	0.035714295	0.9479055
b	0.081269614	0.10091323	0.7922179	0.02559924
ì	0.014316573	0.6100289	0.37361372	0.0020406942
k	0.22771	0.6474536	0.11053748	0.014298877
e	0.011921748	0.24865225	0.7350788	0.004347148
a	0.014103569	0.29441118	0.549668	0.14181723
p	0.7986369	0.12128066	0.075790256	0.0042922017
ò	0.061335653	0.27985254	0.6269616	0.03185021
t	0.0050289175	0.39164057	0.57453954	0.028790964
t	0.06940681	0.446195	0.47971055	0.0046876874
u	0.0009268902	0.2406579	0.74766624	0.010749003
</S>	0.0005953956	0.0037263685	0.07100906	0.92466915
