 	viene	fabbricato	</S>
è	0.00022706544	0.01559964	0.9841733
r	0.00011832599	0.99850994	0.0013717222
k	0.01189789	0.92792004	0.060182028
e	0.9972838	0.002706082	1.0052546e-05
t	0.00826054	0.98248476	0.009254683
e	0.77009904	0.22605768	0.0038433722
f	0.09780671	0.82370025	0.07849297
a	0.6455761	0.31708485	0.037339054
b	0.052041158	0.4527565	0.49520236
b	0.031618986	0.89600456	0.072376445
r	0.9623208	0.010162456	0.02751672
i	0.9797298	0.010861283	0.009409002
k	2.1956694e-05	0.13267793	0.8673001
à	0.29038313	0.67209923	0.037517656
t	1.969628e-05	0.13564427	0.8643361
o	0.105849326	0.6857169	0.20843376
</S>	8.550474e-06	0.010542727	0.9894488
