 	non	ho	cosa	è	da	mangiare	</S>
e	2.8180262e-05	3.6033205e-05	5.5713495e-05	0.000106032196	0.0004396782	0.0756615	0.9236729
n	0.5940795	0.30462778	0.075836234	0.024487603	0.0008604618	0.00010607147	2.3380487e-06
è	0.026466692	0.22577244	0.23553763	0.44689134	0.06432133	0.0009419946	6.855271e-05
c	0.0517619	0.27402368	0.3903372	0.27795258	0.0056652534	0.00025688554	2.565675e-06
h	0.010332984	0.09400159	0.23539755	0.49893245	0.13355416	0.027758531	2.269799e-05
o	0.02906035	0.24271582	0.56810784	0.15188189	0.006365644	0.00053795084	0.0013305628
t	0.0028422792	0.10592256	0.55858463	0.29292077	0.038113363	0.0013445669	0.000271855
i	0.015236372	0.0883838	0.14924648	0.3714226	0.17805727	0.1952336	0.002419951
è	0.008548532	0.12962206	0.29434973	0.4059571	0.14632152	0.012679779	0.0025213251
n	0.0020491397	0.029925223	0.10553617	0.74977267	0.056135405	0.055153035	0.0014283926
a	0.004225424	0.023164203	0.03834083	0.14146031	0.14154194	0.6461284	0.0051389406
f	0.0005053931	0.021296855	0.05022048	0.43130496	0.34430373	0.12691087	0.025457758
à	0.00202871	0.02531952	0.081284285	0.2006207	0.17667979	0.4929401	0.021126945
o	6.0000352e-06	0.0008891311	0.0073308283	0.17167504	0.13158928	0.6709518	0.017557941
</S>	1.3228958e-05	0.001765986	0.029084593	0.3605351	0.08008908	0.33380714	0.19470482
