 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
t	4.96791e-06	7.70218e-05	0.000538446	0.000384273	0.000200953	0.00250795	0.00537904	0.0678967	0.923011
a	0.0035742	0.00274124	0.218405	0.646768	0.117694	0.00396994	0.00348893	0.00290259	0.000455897
p	0.00212709	0.00540208	0.0392288	0.2495	0.635252	0.0619744	0.00633461	0.000127645	5.38634e-05
e	3.80715e-07	4.47283e-05	0.283967	0.523611	0.176068	0.0135266	0.00272322	5.71749e-05	1.63139e-06
d	1.4331e-05	0.000154111	0.0118517	0.408016	0.55933	0.0187876	0.00175815	6.92652e-05	1.89783e-05
ì	4.85986e-06	0.000258524	0.893014	0.0831154	0.0150992	0.0056427	0.00213298	0.000715573	1.68367e-05
a	0.000166831	0.000612883	0.412832	0.358822	0.210486	0.0148969	0.00198233	9.48228e-05	0.000105635
m	6.95777e-09	1.45276e-06	0.249952	0.472872	0.273336	0.00179262	0.0020072	3.64543e-05	2.64646e-06
i	0.000462916	0.0136694	0.382256	0.454915	0.0521066	0.03907	0.012564	0.0434718	0.00148393
n	4.65502e-05	0.00341385	0.0151795	0.212613	0.250692	0.51461	0.00330822	8.60487e-05	5.19408e-05
c	3.58611e-06	0.000303778	0.0608224	0.238802	0.121605	0.198549	0.0703092	0.30364	0.00596494
i	0.000826669	0.161935	0.612611	0.0667063	0.0219257	0.125545	0.0059815	0.00433865	0.000130179
à	0.000980314	0.015374	0.0163773	0.096645	0.505388	0.307362	0.0562384	0.000623831	0.00101094
e	2.93382e-08	2.19985e-06	0.777441	0.0980047	0.0487219	0.00712167	0.067242	0.00122661	0.000240125
n	3.43513e-09	7.63386e-07	0.0900175	0.606974	0.243492	0.00703002	0.0354317	0.0131355	0.00391836
i	4.55194e-05	0.00352691	0.0583801	0.102357	0.0343157	0.101148	0.049536	0.632369	0.0183221
n	4.66449e-06	0.000542502	0.00877345	0.0573111	0.128409	0.729221	0.0727696	0.0013903	0.00157818
d	5.89305e-07	2.62479e-05	0.00497662	0.0157706	0.0100878	0.0402719	0.0423812	0.875923	0.010562
ì	0.00037739	0.0533654	0.539974	0.0469854	0.0208267	0.191039	0.0584863	0.0882311	0.000714803
n	1.41713e-05	0.000931456	0.00333808	0.00776797	0.0756808	0.25231	0.259818	0.0994905	0.300649
n	6.34928e-08	3.87022e-06	0.00181917	0.00546115	0.00761369	0.0119987	0.0365653	0.933313	0.00322475
u	0.000738845	0.0474356	0.114157	0.107596	0.0504083	0.273701	0.131866	0.270336	0.00376159
t	5.83355e-06	0.000187579	0.00658908	0.0424886	0.0945272	0.266927	0.253053	0.0390501	0.297171
t	5.72652e-05	0.000115359	0.0238855	0.0286438	0.0740754	0.269686	0.413236	0.18843	0.00186995
e	0.00216417	0.0446321	0.169134	0.0628284	0.0280051	0.467432	0.184421	0.0412559	0.000128155
m	2.32966e-06	8.26879e-05	0.007762	0.0364148	0.0541622	0.202342	0.245326	0.0558896	0.398018
a	0.000167129	0.000258639	0.0124784	0.0240185	0.0561594	0.329682	0.370427	0.203585	0.00322365
n	4.44824e-07	1.91781e-05	0.00766444	0.0284825	0.0305489	0.260499	0.314321	0.0849764	0.273488
i	6.86378e-08	1.00098e-06	0.000358851	0.00154859	0.00331244	0.0302409	0.0762034	0.869561	0.0187739
c	1.79591e-07	7.65642e-06	0.00731909	0.0163969	0.0174821	0.18169	0.321702	0.100581	0.35482
h	1.10255e-06	1.27973e-05	0.0348589	0.00541067	0.016143	0.02379	0.208336	0.699101	0.0123467
ò	0.00120346	0.0453327	0.389417	0.125563	0.0420928	0.157496	0.118976	0.11243	0.00748946
t	6.37406e-08	2.78015e-06	0.000460352	0.000452845	0.00125488	0.00682263	0.0480501	0.0411995	0.901757
t	4.90286e-05	0.000115905	0.00400099	0.0130712	0.0331997	0.117694	0.197942	0.620829	0.0130978
o	0.00182645	0.0213683	0.096522	0.0424634	0.0209635	0.344113	0.282424	0.189409	0.000910589
</S>	1.12928e-08	4.37756e-07	0.000154463	0.000561773	0.000727452	0.00395532	0.0120561	0.0180256	0.964519
