 	io	non	ho	cosa	da	mangiare	</S>
e	6.232827e-05	3.4332817e-05	4.7842463e-05	6.795798e-05	0.00032006207	0.06543709	0.93403035
v	0.9926514	0.0056850915	0.0011941827	0.00045141234	1.3477627e-05	4.24113e-06	7.706561e-08
ò	0.47725305	0.43994546	0.05049464	0.025579227	0.006458209	0.00026898904	3.846314e-07
e	0.11238334	0.6783354	0.16316849	0.04209672	0.003899028	0.00011574538	1.2984048e-06
n	0.08016496	0.3166432	0.35096505	0.23634122	0.015654106	0.00023029186	1.1042187e-06
è	0.008540078	0.23007901	0.32988206	0.17592518	0.18553089	0.069950245	9.253914e-05
c	0.0011826368	0.18272845	0.47022516	0.30904302	0.033301324	0.0034872324	3.2280117e-05
h	0.027677283	0.19330734	0.34226805	0.24435638	0.1465767	0.045798756	1.5520136e-05
o	0.000844241	0.022966772	0.3072967	0.5622451	0.047959484	0.057883676	0.0008041159
t	0.00048519083	0.044822097	0.20563748	0.62192863	0.11016013	0.011484325	0.0054821866
i	0.008872944	0.09277396	0.22739348	0.19673015	0.15780012	0.30851102	0.007918335
è	6.1782695e-05	0.071729735	0.20626204	0.35092345	0.30518022	0.05197604	0.013866775
n	0.0029289795	0.05185686	0.04636909	0.0954159	0.08788791	0.69212115	0.023420217
a	0.00302546	0.032046188	0.057108458	0.07143679	0.11073985	0.7185218	0.0071215075
f	1.1645854e-05	0.010477042	0.044413786	0.1035708	0.31948847	0.36244518	0.1595931
à	0.0009356438	0.025393046	0.10634152	0.16854766	0.16571933	0.500885	0.032177825
o	2.066671e-06	0.00030953024	0.0024324667	0.009577458	0.04558997	0.9151464	0.026942125
</S>	9.949489e-05	0.0010213975	0.0038964045	0.016294738	0.021687677	0.5250519	0.43194842
