 	ho	cosa	a	fare	</S>
è	1.3153127e-05	1.7579592e-05	0.00011563691	0.06306043	0.93679315
c	0.23777026	0.3777354	0.027905961	0.3546778	0.0019105673
h	0.1912051	0.33475745	0.02554863	0.4374717	0.011017142
o	0.080548234	0.57879305	0.30060855	0.038013544	0.002036622
t	0.10503084	0.8612676	0.024558123	0.005232473	0.003910975
i	0.07916657	0.14516784	0.6671954	0.10822231	0.00024788154
k	0.12896399	0.5993269	0.23249544	0.02892168	0.0102919955
à	0.03011609	0.07908146	0.6137226	0.27488658	0.0021933303
i	0.023734983	0.13091356	0.20289694	0.5211284	0.121326074
</S>	0.00051796215	0.033588734	0.05590043	0.88741857	0.022574337
