 	dove	aveva	per	stare	non	aveva	</S>
p	1.4759205e-05	1.1901798e-05	2.0260397e-05	0.00032101912	0.00043618187	0.038747825	0.960448
u	0.14744951	0.8011575	0.049879316	2.0732012e-05	0.0012403416	0.00024592664	6.8117592e-06
ì	0.16846618	0.64450693	0.1837711	8.391013e-06	0.0031592213	7.31357e-05	1.50077085e-05
c	0.3407969	0.62169945	0.006370158	1.3993192e-05	0.031075908	4.0524097e-05	3.0138124e-06
h	0.08111564	0.7397072	0.056901872	2.3504175e-05	0.107036605	0.013916438	0.0012986629
e	0.022865616	0.566695	0.35726625	0.0014072522	0.03461731	0.008967121	0.008181485
n	0.016088061	0.6364241	0.33476928	3.4559678e-06	0.011658004	0.0006269954	0.00043008904
a	0.0011659572	0.050492477	0.17253831	0.003941705	0.60517424	0.1648064	0.0018808956
s	0.008579937	0.38220835	0.514143	0.0005016716	0.08072841	0.010862671	0.0029760168
t	0.0039644577	0.07837924	0.08448671	0.0049604517	0.28786868	0.53257793	0.0077626086
a	0.003219281	0.020312322	0.050882585	0.8222518	0.09640047	0.0067746714	0.00015887286
s	0.0033603876	0.17363726	0.5990859	0.0006985689	0.14715295	0.052213624	0.023851285
ì	0.0130162835	0.11754025	0.5197036	0.002346747	0.22011513	0.1256212	0.0016568372
e	0.0012596592	0.024155308	0.2327538	0.0009852417	0.6482399	0.06835566	0.024250403
n	0.0006440259	0.061296288	0.08691089	1.1309336e-05	0.521629	0.25509024	0.07441827
ì	3.2377226e-05	0.0008547336	0.0015479779	0.0012954961	0.043204524	0.9314106	0.021654293
c	7.3752344e-05	0.0018310851	0.025648465	0.0004347935	0.76875424	0.18072206	0.022535548
h	0.005325588	0.21120186	0.052354455	0.00019142237	0.20396103	0.51818705	0.008778585
e	0.00066245464	0.0027125252	0.0074360026	0.6637565	0.25505766	0.06963864	0.00073621626
</S>	1.854324e-06	0.00013787068	0.0010208475	2.7839912e-06	0.0018523331	0.12756835	0.869416
