 	non	sono	ancora	vestita	</S>
e	4.6786595e-06	1.1208824e-05	0.0001386021	0.039985437	0.9598601
n	0.69544953	0.24417475	0.05833471	0.0018910957	0.00014990267
ì	0.016363833	0.25959113	0.6895587	0.03246553	0.0020208205
m	0.038066473	0.28741658	0.67358965	0.0007676164	0.00015966574
e	0.014707099	0.108250394	0.18695876	0.67439663	0.015687145
a	0.007812721	0.13915884	0.85025585	0.0017698532	0.0010027776
n	0.0112875495	0.5622644	0.42198953	0.003176745	0.0012818476
k	0.0015282072	0.025175618	0.18435474	0.77261907	0.01632236
ò	0.057132956	0.13822386	0.71511716	0.08902531	0.00050075975
r	0.0011228335	0.025623048	0.8840795	0.054552045	0.03462255
a	0.005494789	0.08311951	0.801998	0.10745279	0.0019349286
e	0.0010835698	0.025462437	0.5644137	0.16234696	0.24669334
n	0.0008074295	0.04174063	0.7420956	0.07346074	0.14189559
d	0.00017125139	0.002810634	0.035337284	0.84634066	0.115340166
i	0.0024492883	0.018142566	0.27446952	0.6932708	0.011667808
m	5.486887e-05	0.001846924	0.076734915	0.233816	0.6875473
è	0.016359374	0.054517884	0.6997669	0.2260859	0.0032699655
n	3.9400697e-06	0.00017233357	0.1147762	0.32537496	0.55967253
i	5.3767642e-05	0.002180049	0.0357749	0.8532218	0.10876949
</S>	1.9414908e-07	1.8699808e-05	0.005182022	0.083585195	0.91121393
