 	non	mangiare	la	sera	</S>
m	1.8015553e-05	1.2986565e-05	5.188239e-05	0.026222667	0.9736944
i	0.31137204	0.5217699	0.07641934	0.09016712	0.00027160978
f	0.19640625	0.6953756	0.10798352	0.0001342993	0.00010030908
a	0.037517462	0.35454774	0.57183105	0.03344598	0.002657707
i	0.15499799	0.62901473	0.21357842	0.0020527707	0.00035613784
o	0.035956156	0.5992693	0.31821018	0.044590708	0.0019737317
v	0.044887185	0.48114985	0.27861425	0.18863495	0.006713646
r	0.015672985	0.0910406	0.094872855	0.79151815	0.0068954593
à	0.008446564	0.14471966	0.122228034	0.6561794	0.06842641
i	0.04067234	0.0820138	0.1251488	0.7304253	0.02173968
</S>	0.00024747264	0.01911068	0.042942293	0.9176989	0.020000631
