 	può	che	sono	ancora	svegli	</S>
i	2.71371e-06	3.10485e-06	8.55026e-06	0.000323044	0.0317924	0.96787
s	0.919077	0.0579977	0.0133828	0.00953357	3.67513e-06	5.07161e-06
ò	0.360212	0.359587	0.214106	0.0656371	0.000372666	8.42301e-05
z	0.734404	0.202278	0.0372397	0.0260601	3.92475e-06	1.44518e-05
i	0.029234	0.180402	0.51685	0.24621	0.0251413	0.0021622
k	0.116911	0.365805	0.395634	0.120938	0.000275092	0.000436095
a	0.0233146	0.134227	0.335674	0.359662	0.142627	0.00449481
ì	0.0436414	0.242997	0.331021	0.381156	0.000666299	0.000518125
n	0.124144	0.363165	0.298234	0.214324	4.69528e-05	8.68237e-05
e	0.00761635	0.0736959	0.213134	0.157287	0.540947	0.00731983
a	0.00154731	0.046293	0.147562	0.801738	0.00179161	0.00106807
n	0.00764757	0.0939364	0.348971	0.54716	0.000852288	0.00143275
k	0.000638011	0.00855104	0.0332366	0.06691	0.868553	0.022111
ò	0.0188895	0.124899	0.175861	0.655751	0.024394	0.000206458
r	0.000832568	0.0086876	0.0266504	0.825038	0.0487743	0.0900172
a	0.00618818	0.0227201	0.0982102	0.597266	0.273518	0.00209778
a	0.000767603	0.0101957	0.0332978	0.726958	0.0620947	0.166686
t	0.000871426	0.00821648	0.0459752	0.874492	0.0157749	0.0546698
s	0.000977477	0.00478594	0.0158945	0.0806007	0.866516	0.0312249
ù	0.00305034	0.0230711	0.0570978	0.565588	0.349069	0.00212395
n	4.24285e-05	0.000251817	0.00149677	0.322574	0.153812	0.521823
n	1.1857e-05	0.000311588	0.00355037	0.0189767	0.969211	0.00793875
i	0.000391977	0.00431262	0.0154499	0.207579	0.751215	0.0210515
t	1.5029e-06	4.47014e-05	0.000433223	0.0376259	0.039159	0.922736
i	0.00133785	0.00406648	0.0173983	0.248665	0.725963	0.00256944
</S>	1.58924e-06	2.67537e-05	0.00032396	0.0940557	0.11195	0.793642
