 	non	mi	aspetti	non	vengo	</S>
m	1.5484984e-05	3.146228e-05	5.892942e-05	0.00021100057	0.035172787	0.9645104
ì	0.07332918	0.417468	0.37507984	0.09174649	0.03595449	0.006421864
m	0.28768772	0.09739068	0.56335014	0.05032811	0.00023957224	0.0010037472
e	0.0073222565	0.08163907	0.55663586	0.28770763	0.05618173	0.010513565
m	0.010458207	0.036477674	0.82849187	0.11744296	0.0009715947	0.0061576627
ì	0.013325076	0.16170456	0.5073532	0.16637477	0.13491684	0.016325649
n	0.012089867	0.015863137	0.85530907	0.11029582	0.00095059077	0.0054916088
i	0.00016432261	0.02388642	0.44623986	0.3877613	0.13555066	0.0063974513
e	0.0023953246	0.012858837	0.5484533	0.34138194	0.009242584	0.085668005
n	0.0036038752	0.13785528	0.75136006	0.087784305	0.006140456	0.013255963
è	0.00073402154	0.026327377	0.16670674	0.13178161	0.645943	0.0285073
r	5.6202705e-05	0.000819586	0.6836834	0.27861074	0.020799616	0.01603031
k	0.0014909466	0.14465602	0.38948885	0.21976821	0.23650472	0.008091311
o	0.008723254	0.019533731	0.36664033	0.5093847	0.09476488	0.00095318764
m	2.2820466e-05	0.00016028887	0.015445351	0.027427701	0.07229731	0.8846466
e	0.010156893	0.04680707	0.60325736	0.20390396	0.13026302	0.005611668
</S>	2.2470424e-05	0.00016639553	0.016167061	0.025615685	0.1350661	0.82296234
