 	tutto	il	cibo	vuole	girato	</S>
ò	8.41036e-07	6.77596e-07	7.33099e-06	2.31063e-05	0.00792653	0.992042
l	0.965521	0.000524997	0.0292931	0.0046451	1.57382e-07	1.53713e-05
o	0.0143132	0.000447351	0.118259	0.863217	0.00103392	0.00272918
o	0.500046	0.0751062	0.409434	0.0146979	3.77062e-06	0.000711805
m	0.0175139	0.000127342	0.432415	0.549918	1.74604e-06	2.46151e-05
a	0.0193613	0.00682771	0.238341	0.0978857	0.63478	0.00280443
r	0.182141	0.0320253	0.7579	0.0254545	0.000535331	0.00194429
ì	0.0316997	0.0102435	0.525527	0.0715391	0.348057	0.0129338
o	0.0105653	0.00268126	0.891134	0.0784055	0.000907538	0.0163066
t	3.76968e-05	2.18994e-07	0.0428529	0.956863	7.21507e-07	0.000245065
è	0.00416789	0.00326242	0.15571	0.0735366	0.761977	0.0013457
l	0.000786379	0.000196294	0.574805	0.283332	0.00270334	0.138176
i	0.0153473	0.00491076	0.175379	0.166795	0.633547	0.00402055
v	5.54937e-05	2.39892e-05	0.0338614	0.325538	0.00471745	0.635804
o	0.00328145	0.00124177	0.433491	0.467624	0.064611	0.0297507
t	3.25589e-05	3.04403e-05	0.0393626	0.332333	0.000392294	0.627849
i	0.0289201	0.00396385	0.287832	0.386672	0.285433	0.00717948
m	5.56969e-06	5.07493e-07	0.00440693	0.124461	0.0026809	0.868445
m	0.0517709	0.00522764	0.0627432	0.0454862	0.820683	0.0140892
è	0.0179744	0.00936408	0.029858	0.00978849	0.932979	3.55793e-05
n	7.65173e-07	7.77832e-09	0.00022402	0.0410427	0.000816157	0.957916
o	0.00220184	0.000622353	0.0347155	0.188095	0.577008	0.197358
</S>	4.29407e-07	3.6832e-09	0.000231529	0.0906091	0.000563138	0.908596
