 	vengono	vestiti	</S>
è	0.00033037947	0.039654464	0.9600152
r	0.94379026	0.055655565	0.000554241
k	0.029167566	0.5190795	0.4517529
u	0.90026647	0.094446	0.00528756
t	0.892844	0.038652662	0.06850332
t	0.10253703	0.89259243	0.0048704757
e	0.6822778	0.30348974	0.014232412
n	0.17408189	0.07044433	0.7554738
d	0.022259519	0.9528203	0.02492023
i	0.1591586	0.7855623	0.055279143
m	0.038094595	0.051954806	0.9099506
è	0.18234693	0.78158796	0.03606517
n	0.04553076	0.34636804	0.60810125
a	0.0047683083	0.6577693	0.33746234
</S>	0.0003455676	0.027255405	0.972399
