 	non	ho	cosa	a	fare	</S>
e	1.6465281e-05	1.9571587e-05	3.7522925e-05	0.0002851912	0.09587103	0.9037702
n	0.68012285	0.2261243	0.06405492	0.02409537	0.0052124276	0.0003901423
è	0.04193524	0.40270677	0.40583155	0.13801351	0.01032663	0.0011861413
c	0.058011767	0.31590137	0.52648747	0.09209562	0.0072821192	0.00022165186
h	0.014021762	0.15710153	0.64855915	0.15669602	0.02357196	4.96649e-05
o	0.028842224	0.27548134	0.61490977	0.061889008	0.0067646266	0.012112986
t	0.0027751464	0.1316061	0.84167916	0.013578081	0.006973783	0.0033877932
i	0.019020835	0.11614354	0.13592936	0.5706882	0.15611003	0.0021080654
k	0.015030941	0.2741845	0.47749722	0.1390479	0.042587727	0.051651698
à	0.030551003	0.12041662	0.10808116	0.46946257	0.2621189	0.0093697375
i	0.00071619614	0.022328071	0.058474917	0.1588004	0.6038876	0.1557928
</S>	7.3429685e-05	0.005504158	0.054012742	0.06736942	0.7822382	0.09080203
