 	io	non	ho	niente	da	mangiare	</S>
e	5.5050084e-05	3.0632975e-05	3.964424e-05	0.00012623979	0.0003463045	0.068158865	0.9312433
v	0.99283457	0.0054448126	0.0014959854	0.00019808071	2.0817293e-05	5.511469e-06	6.600436e-08
ò	0.40235445	0.397234	0.04563105	0.1419585	0.012555632	0.0002660548	3.388881e-07
e	0.09683424	0.6347578	0.14578101	0.11338303	0.009084927	0.00015776196	1.2802211e-06
n	0.06901003	0.2916061	0.34716576	0.27135882	0.020580849	0.000277346	9.854497e-07
è	0.008907979	0.24163613	0.33999127	0.1568425	0.18281831	0.0696976	0.00010615799
c	0.0015145167	0.220708	0.48567227	0.25481865	0.03419496	0.0030583646	3.3344924e-05
h	0.018186944	0.1379577	0.22521374	0.4307342	0.14259401	0.04529919	1.4323416e-05
o	0.0016430389	0.050842166	0.7122676	0.13705868	0.037723318	0.059271257	0.0011940295
t	8.696259e-05	0.008717507	0.04276332	0.90367997	0.042203203	0.0018346751	0.0007143459
ì	0.008065887	0.089881696	0.19361065	0.31391695	0.13092546	0.2565935	0.0070057996
p	4.3702483e-05	0.029903475	0.08940479	0.54542476	0.262467	0.06718747	0.005568781
o	0.0044948882	0.051808354	0.18378448	0.4768944	0.091652654	0.18947238	0.001892739
t	1.121208e-05	0.009325165	0.036081325	0.6321793	0.2589967	0.03361748	0.029788865
i	0.0030632303	0.045010492	0.10980908	0.26202422	0.11570487	0.44144732	0.022940753
n	1.1559952e-05	0.008950488	0.023511825	0.18730652	0.49801007	0.19978915	0.082420416
a	6.574676e-05	0.003610271	0.013671358	0.08768678	0.07873043	0.69246614	0.123769306
f	6.3329944e-06	0.0023135925	0.007464843	0.050878022	0.26228866	0.5066278	0.17042075
à	0.00051490264	0.012644723	0.047257833	0.24869747	0.10121303	0.4973416	0.092330486
o	1.4881449e-06	0.00013417435	0.001096256	0.008057405	0.03383803	0.9418997	0.014972964
</S>	4.4189506e-05	0.00036022134	0.0014450205	0.0067688883	0.01246253	0.51548743	0.46343172
