 	non	sono	andati	</S>
e	4.8742654e-06	2.051882e-05	0.072600305	0.9273743
n	0.6957027	0.28792492	0.008855403	0.007517111
è	0.06137145	0.59648126	0.29807502	0.04407219
c	0.10376859	0.84838074	0.03866681	0.009183826
h	0.03971416	0.9125776	0.04638409	0.001324208
u	0.12156938	0.65091234	0.00950551	0.21801274
n	0.015114753	0.6467414	0.015297107	0.32284683
e	0.0007479117	0.018748397	0.96489525	0.015608444
p	0.007959954	0.22235017	0.06441979	0.7052701
a	0.00081137725	0.030763445	0.9441544	0.024270875
m	0.000997272	0.10724613	0.22464465	0.66711193
è	0.010648881	0.028672434	0.9532832	0.0073955217
n	0.00032301375	0.07164973	0.61738986	0.31063738
a	0.00024617757	0.016798215	0.6280125	0.35494313
</S>	3.3050826e-06	0.00054803566	0.016037516	0.98341113
