 	se	vieni	a	casa	ogni	sabato	</S>
a	2.3214932e-05	1.681069e-05	1.1699459e-05	4.8934526e-05	6.168407e-05	0.1799976	0.81984
n	0.9273402	0.029798217	0.03965897	0.0023238033	0.00086493633	1.1162299e-05	2.7639303e-06
è	0.0010387901	0.043446258	0.024290001	0.866527	0.06462932	1.2334195e-05	5.6438003e-05
r	0.72222173	0.062008735	0.15732056	0.052190404	0.0061767353	8.041573e-05	1.336282e-06
t	0.0072878893	0.11100275	0.07984134	0.6584123	0.13663366	0.0064905817	0.00033159577
i	0.030534334	0.004279656	0.9597386	0.0029135856	0.0017234196	0.0007615917	4.8744027e-05
è	0.0032580153	0.07972423	0.12764522	0.74704987	0.041976634	9.8827484e-05	0.00024714283
s	0.00079585216	0.13139868	0.04337633	0.75696933	0.0672775	0.00010336877	7.882818e-05
s	0.006294906	0.070505016	0.23168269	0.42126235	0.15382832	0.112731725	0.0036949809
u	0.0091620535	0.004668607	0.89765275	0.009001611	0.013119006	0.065814145	0.0005818989
k	0.0011490473	0.041247055	0.032966755	0.7437903	0.17046139	0.005535488	0.004850013
u	0.014319447	0.12448315	0.1832239	0.472022	0.07958841	0.12138237	0.0049807075
à	0.00056541397	0.024636436	0.015437979	0.64910007	0.2796557	0.019451609	0.011152737
i	0.0002158658	0.021634478	0.010408865	0.5554774	0.25954232	0.10537706	0.047344033
s	3.756259e-05	0.010863572	0.01760813	0.6850472	0.2141522	0.0061812	0.0661101
à	0.0018358077	0.025129505	0.17023504	0.23295458	0.12214349	0.35324788	0.09445369
m	5.7431994e-06	0.00044668108	0.00033419597	0.07022712	0.03121851	0.8720951	0.025672665
b	0.0065014227	0.07388484	0.23953007	0.46181947	0.07239845	0.13306262	0.012803165
a	0.0021896895	0.002628284	0.016748833	0.0058392053	0.015962837	0.9543316	0.0022995463
</S>	3.6142378e-06	0.00022038155	3.852655e-05	0.015342417	0.013598993	0.020222886	0.9505732
