 	deve	che	entra	da	qui	</S>
è	4.4541157e-05	1.05129e-05	0.0029135465	0.00015449435	0.013755487	0.9831214
n	0.21465664	0.74627835	0.03413959	0.0011377123	0.0036414275	0.00014622891
g	0.0031864117	0.041696258	0.8565318	0.048180994	0.0481764	0.002228045
h	0.016362585	0.9822313	2.5854897e-05	0.0012596681	0.000119741584	8.009057e-07
i	0.025808213	0.9721308	0.00064286246	0.0010091669	0.00022329674	0.00018567432
s	0.023136407	0.5294171	0.2593517	0.15990755	0.024820842	0.0033664382
e	0.009792796	0.4691637	0.050757747	0.3255149	0.14257929	0.002191661
n	0.020321056	0.5211578	0.04515011	0.3379793	0.061208807	0.0141828945
a	0.0017510034	0.08538292	0.035706077	0.36597243	0.50467414	0.0065134275
m	0.0049173217	0.2039866	0.031987388	0.5761825	0.13210267	0.050823566
b	0.017935337	0.19674939	0.09701978	0.2944786	0.37836182	0.015455081
i	0.02592446	0.7566208	0.00091302756	0.1224458	0.09106527	0.0030306322
a	0.0004274971	0.0040328912	0.19220766	0.3273834	0.27514708	0.20080146
p	0.00026135912	0.001404984	0.9421294	0.013697643	0.019787136	0.022719515
ò	0.00049936946	0.015568	0.13207182	0.16281357	0.62437886	0.064668395
t	2.3324532e-05	0.0009274762	0.18275975	0.06937128	0.6510682	0.09584985
t	0.0029245676	0.056303017	0.15270908	0.18799344	0.5829013	0.017168568
ù	0.018151201	0.38437364	0.0038664052	0.20615973	0.3787517	0.008697239
</S>	2.2559495e-06	3.2817425e-06	0.014945785	0.002659151	0.09811482	0.88427466
