 	l	ho	sentito	che	viene	</S>
o	7.504491e-07	1.2671615e-06	4.0851635e-05	7.6066215e-05	0.0021592744	0.99772173
n	0.00016994342	0.9494865	8.953844e-05	0.04918002	0.0009479791	0.0001260429
ì	0.012220891	0.74769676	0.01641796	0.18478134	0.034277476	0.004605635
k	0.00079616875	0.7535441	0.006577801	0.23493005	0.0034911276	0.00066077325
u	0.0008108772	0.46446812	0.016443236	0.20641294	0.2897821	0.02208282
s	0.0019878747	0.79468304	0.020738246	0.15689343	0.019138085	0.0065593715
a	0.0010846048	0.07027127	0.08634303	0.4802985	0.35531127	0.0066914526
n	0.0041269357	0.4081276	0.064491585	0.44624054	0.0559731	0.021040298
a	7.8711775e-05	0.006062396	0.014652857	0.12514137	0.8431063	0.010958314
r	0.0012599741	0.14799786	0.04558035	0.61327964	0.13124657	0.060635637
t	0.00055111875	0.048466876	0.020976381	0.22914258	0.684498	0.016365098
i	0.020507583	0.005740296	0.68318695	0.23849331	0.051979847	9.200266e-05
</S>	8.5842614e-05	0.024945192	0.0019477414	0.09819109	0.17239666	0.70243347
