 	non	deve	magniare	la	sera	</S>
e	1.7641629e-05	0.00010244763	5.2861407e-05	8.771966e-05	0.032083217	0.96765614
n	0.71723384	0.16887876	0.10146839	0.0102872485	0.0020996565	3.2115553e-05
è	0.01615403	0.0939943	0.7969562	0.09190067	0.00095881167	3.5985606e-05
n	0.04430393	0.09979875	0.81652975	0.037156265	0.0021988433	1.2483137e-05
a	0.0038254387	0.10069576	0.607305	0.22789016	0.06009591	0.0001876955
f	0.013235832	0.02413358	0.9286046	0.0337282	0.00025923498	3.8543527e-05
à	0.018348977	0.11451598	0.44228798	0.27345777	0.15058441	0.00080493407
i	0.0023892652	0.01566377	0.9284	0.04625662	0.0070457286	0.00024474756
t	0.00012874327	0.086468406	0.8273341	0.06747724	0.01830228	0.000289175
o	0.008687532	0.07889321	0.102637105	0.128367	0.680269	0.0011461773
v	0.0009764034	0.009779126	0.7605091	0.17761452	0.042463563	0.008657392
r	4.3839093e-05	0.02500874	0.55871165	0.0995966	0.3153029	0.0013363132
à	0.002394597	0.009040175	0.007910589	0.038281593	0.9381926	0.004180427
i	0.00016942312	0.004980185	0.17534807	0.04890872	0.177264	0.59332955
</S>	3.6259328e-06	0.0074161645	0.08245222	0.014016897	0.69632393	0.19978717
