 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
ì	5.31861e-06	2.1857e-05	0.00045931	0.00197934	0.0134125	0.0261655	0.0610072	0.896949
s	2.6483e-05	0.999937	2.44769e-05	1.04319e-05	1.91776e-06	2.9812e-08	1.65187e-08	1.96794e-09
o	0.00260957	0.988134	0.000659339	0.00701079	0.000939185	0.000575851	5.51624e-05	1.64804e-05
t	0.00212737	0.994758	0.00238083	0.000724491	6.19233e-06	1.98471e-06	3.02617e-07	5.90886e-07
r	0.00240358	0.538197	0.0693889	0.282846	0.0621703	0.0377562	0.00457166	0.00266657
a	0.0589755	0.0135689	0.927313	0.000126033	1.38939e-05	5.65429e-07	6.11573e-07	1.17885e-06
ù	0.000688458	0.981237	0.00765198	0.0101121	0.000123387	0.000134364	2.72833e-05	2.52094e-05
d	3.99916e-07	0.998903	0.000144631	0.000898784	5.03806e-05	1.77188e-06	4.48121e-07	2.49125e-07
i	0.000419802	0.444523	0.0561756	0.151035	0.20156	0.10965	0.0364091	0.000227291
ì	0.00106317	0.896519	0.0454943	0.0541184	0.00161334	0.000969827	0.000108189	0.000113391
r	2.18361e-07	0.985976	0.00357016	0.00955703	0.000855855	2.82343e-05	1.07866e-05	1.76701e-06
t	0.00141448	0.111337	0.0765929	0.224097	0.171313	0.300522	0.112191	0.00253295
e	0.00175827	0.00155366	0.992918	0.00293963	0.000730395	4.15492e-05	4.72279e-05	1.17855e-05
g	1.56934e-05	0.182387	0.0151773	0.593171	0.0769152	0.116591	0.0129374	0.00280535
r	1.4636e-06	0.0652561	0.00144723	0.14886	0.665231	0.0807471	0.0380607	0.00039562
a	0.00117869	0.0173169	0.465153	0.196393	0.273379	0.0358108	0.0104904	0.000278129
m	1.30493e-05	0.0422065	0.0119686	0.515017	0.103016	0.27927	0.044151	0.00435724
m	0.000153143	0.0167062	0.0031694	0.0657421	0.298467	0.456155	0.154727	0.00487989
è	0.0022633	0.00208002	0.922417	0.030485	0.0389449	0.00231148	0.00149658	1.89761e-06
n	1.04793e-07	0.00448323	0.00321606	0.347548	0.21982	0.287579	0.126752	0.0106019
o	2.36749e-07	0.00412126	0.000110418	0.0763791	0.22179	0.420306	0.272959	0.00433311
t	5.76479e-07	0.00304666	0.00305984	0.300801	0.19993	0.381173	0.0980654	0.0139235
è	1.48111e-05	0.00520814	0.000564541	0.0426858	0.220235	0.4947	0.234246	0.0023463
s	9.26762e-09	0.00239083	0.00307899	0.250303	0.369123	0.103354	0.262447	0.00930355
s	0.000151041	0.0238066	0.00197921	0.0440234	0.177982	0.449375	0.286643	0.0160387
e	0.00178817	0.00309194	0.0427185	0.0418881	0.576946	0.187391	0.145925	0.000251631
r	1.36938e-08	0.000190989	0.000340339	0.121836	0.34274	0.323038	0.165776	0.0460783
u	4.3303e-06	0.00292072	0.000216702	0.0334596	0.18411	0.483931	0.293653	0.00170457
c	1.75267e-08	0.000140533	0.000375173	0.0938096	0.293359	0.285346	0.266743	0.0602263
h	8.34891e-07	0.030621	0.000267728	0.0719766	0.380409	0.243523	0.269613	0.00358849
r	0.000432134	0.00182205	0.117491	0.132723	0.407044	0.184153	0.154711	0.00162454
ò	0.000336751	0.000721188	0.0305051	0.0554434	0.4428	0.254641	0.21478	0.000772662
n	3.11921e-09	4.67447e-05	4.1297e-05	0.0104148	0.0141392	0.0515502	0.253616	0.670192
u	1.06605e-06	0.00196911	6.59108e-05	0.0192315	0.0645737	0.439034	0.447254	0.0278707
a	7.19686e-09	3.72124e-05	8.16574e-05	0.033561	0.103578	0.18766	0.234088	0.440995
m	1.93319e-09	0.000634515	0.000268822	0.0324798	0.675137	0.0560372	0.140281	0.0951616
p	0.000150773	0.0039826	0.00332443	0.0269509	0.116406	0.464585	0.346982	0.037618
ì	0.000497194	0.000940557	0.0414825	0.0553424	0.461951	0.216834	0.220067	0.0028853
</S>	7.57347e-10	6.55091e-06	8.6058e-06	0.00344462	0.0203895	0.0336591	0.204168	0.738324
