 	voglio	che	Maria	è	di	venire	domani	</S>
t	0.000330642	0.000555286	0.000314618	0.000994144	0.00436577	0.0164252	0.00157497	0.975439
è	0.920953	0.0335027	0.00995129	0.0190614	0.00612409	0.00044235	0.00989678	6.82099e-05
l	0.0429311	0.00282494	0.927625	0.0112889	0.00118104	1.05853e-06	0.0141477	6.55721e-07
o	0.00352759	0.0426991	0.301389	0.244799	0.161122	0.00739921	0.236489	0.00257617
k	0.494921	0.419015	0.053216	0.0228118	0.00759218	0.000342071	0.00209084	1.13229e-05
a	0.0512299	0.213079	0.0226303	0.321318	0.24264	0.107434	0.0411466	0.000521428
i	0.605343	0.378384	0.00402942	0.00721508	0.00451676	0.000290488	0.000218226	2.76902e-06
M	0.00584201	0.0178643	0.671686	0.168798	0.0281526	0.000240062	0.10737	4.73667e-05
a	0.0572661	0.0273651	0.131081	0.30312	0.134822	0.0855039	0.259382	0.00146037
r	0.994588	0.00540561	1.61875e-07	3.05395e-06	3.12063e-06	2.53938e-08	2.99595e-10	6.80738e-13
ì	0.661382	0.32491	1.42597e-05	0.0067947	0.00517498	0.00172233	8.40818e-07	1.61919e-07
a	0.929592	0.0671485	0.000117961	0.0015514	0.00139218	0.000167611	2.86701e-05	1.44339e-06
è	0.113394	0.412103	0.0242819	0.296852	0.140569	0.00242511	0.0102702	0.000105536
n	0.140033	0.106512	0.130504	0.31879	0.127347	0.00310638	0.165055	0.00865274
a	0.064352	0.10751	0.00291664	0.124804	0.209505	0.475302	0.0153402	0.000269113
r	0.129199	0.423877	0.00217548	0.117373	0.296077	0.0276848	0.00257063	0.0010441
t	0.0110088	0.0549223	0.0245355	0.259563	0.175934	0.365084	0.107606	0.00134675
i	0.0381062	0.169393	0.00150278	0.0426648	0.114811	0.631384	0.00200007	0.000138972
à	0.00323911	0.0210399	0.0630784	0.100588	0.47908	0.0150418	0.21687	0.101064
v	0.00011065	0.000123064	0.254386	0.0468695	0.0283029	0.000803057	0.610368	0.0590374
v	0.00207739	0.00122563	0.159107	0.257673	0.0497241	0.0165923	0.513211	0.000389436
r	0.826852	0.0701722	0.000785461	0.0241138	0.0281634	0.0422964	0.00169443	0.00592268
i	0.0157522	0.228642	0.000371084	0.024296	0.0368193	0.692751	0.000926561	0.000442341
</S>	5.15462e-05	0.000269049	0.000286528	0.000682594	0.00119911	0.000253491	0.00409131	0.993166
