 	l	ho	sentito	quando	veniva	</S>
t	1.1396153e-06	1.6885524e-06	4.937597e-05	0.00019482963	0.0043804594	0.9953725
o	0.0047138515	0.3686318	0.00078724395	0.1678474	0.45192558	0.0060942112
n	0.0030314692	0.9479786	0.0035948677	0.03342957	0.0117944935	0.00017103447
ì	0.00012732862	0.7681708	0.006600539	0.14217079	0.082051754	0.0008788465
k	2.7209768e-05	0.9648027	0.00044706036	0.02438967	0.010245447	8.798847e-05
u	0.00067213963	0.16515194	0.03316637	0.18801966	0.58027303	0.032716822
s	0.0067792693	0.5760085	0.28725472	0.09513068	0.032658383	0.0021683807
a	0.0028614134	0.13395363	0.58706516	0.09790682	0.17139581	0.0068171765
m	0.0035098381	0.38522857	0.20733084	0.27395925	0.11269544	0.01727606
ò	0.015082777	0.27271366	0.4084386	0.085245535	0.20623076	0.012288644
t	9.49076e-05	0.21938105	0.072508514	0.39762795	0.29197255	0.018415065
t	0.002897625	0.2746762	0.06965245	0.19421129	0.4404409	0.018121544
e	0.0046599545	0.0018293076	0.9934204	6.2369276e-05	2.649319e-05	1.4584713e-06
è	3.908063e-06	0.0040658694	0.0001949595	0.36197406	0.4696589	0.16410233
r	6.114252e-08	0.012067129	2.4353763e-05	0.13086802	0.8522768	0.004763552
k	0.00096749567	0.0488575	0.11048622	0.1959264	0.6179257	0.025836708
a	0.0025286048	0.0008158199	0.99536514	0.00068090303	0.0005948408	1.4724472e-05
t	3.993502e-07	3.2620632e-05	9.427429e-06	0.06415634	0.33078423	0.605017
o	0.0013033436	0.047982097	0.028955141	0.1747668	0.7033403	0.043652337
</S>	7.0929957e-07	4.2620464e-05	8.266804e-05	0.048162002	0.26265648	0.68905544
