 	lui	sapeva	che	oggi	stava	per	fare	freddo	o	freddo	e	non	poteva	fare	il	bagno	</S>
c	9.47751e-05	4.40781e-05	0.000131073	0.000218978	0.00303594	0.00342158	0.00227579	0.0182328	0.0114548	0.0371132	0.0227608	0.0269338	0.00325588	0.00806813	0.0087506	0.36513	0.489078
ì	0.985803	0.0128339	0.000513258	0.00013868	0.000627839	1.28663e-05	9.59299e-06	3.15666e-05	1.47331e-05	1.04082e-05	7.3581e-07	1.24434e-06	1.48838e-06	1.33104e-07	9.62334e-09	2.33362e-09	1.18259e-10
n	0.99999	4.11097e-06	2.63978e-06	2.48755e-07	3.20977e-06	1.3179e-08	1.06463e-07	8.02369e-08	4.67325e-08	1.84743e-08	2.92499e-09	1.43493e-09	2.79952e-08	2.04732e-09	9.36861e-12	2.92506e-11	3.44029e-10
o	0.0492129	0.00644831	0.0786045	0.0586878	0.312247	0.0195944	0.0739905	0.1142	0.120917	0.075402	0.00571616	0.0141195	0.0627933	0.00669662	0.00110306	0.00018886	7.75647e-05
ì	0.985502	0.00235928	0.00504339	0.0022889	0.00383563	0.000477889	0.000165632	0.000172526	0.000122594	2.01117e-05	1.80462e-06	3.54645e-06	6.42172e-06	1.52334e-07	4.87971e-09	1.13802e-08	8.39676e-08
t	0.999057	0.000230482	0.000275809	0.000305694	7.41938e-05	4.83012e-07	4.15456e-05	1.41081e-06	7.03532e-07	1.68054e-07	2.20631e-07	6.57736e-08	1.14313e-05	2.27399e-07	1.33338e-08	7.59127e-10	2.67214e-10
s	0.0191619	0.0112979	0.040965	0.0854385	0.141161	0.0424568	0.0541942	0.225641	0.114548	0.115739	0.0251167	0.0448078	0.0319789	0.00606638	0.0395604	0.00178214	8.34917e-05
e	0.00656676	0.687037	0.0404533	0.261527	0.00146	0.00264275	0.000226159	6.24926e-05	1.93061e-05	1.48325e-06	1.54062e-06	7.34515e-07	5.04887e-07	1.06494e-08	1.17905e-06	4.92307e-09	1.74324e-08
r	0.449344	0.0613156	0.133848	0.0997732	0.169065	0.0586604	0.00986149	0.0107037	0.00593166	0.000939719	0.000202114	0.000206519	0.00014049	6.13148e-06	6.09697e-07	3.44102e-07	6.37817e-07
e	0.00603364	0.00464398	0.0366139	0.151503	0.410088	0.065826	0.0376676	0.17137	0.0625278	0.0359789	0.00880555	0.00552447	0.00204943	0.000440405	0.000530092	9.5612e-05	0.000301655
k	0.164304	0.0686858	0.170019	0.118723	0.307638	0.107867	0.0178269	0.0252972	0.0153779	0.0029094	0.00055641	0.000567652	0.000212001	1.25253e-05	1.50351e-06	7.30461e-07	9.32122e-07
a	0.0153631	0.00641848	0.0367565	0.121857	0.199473	0.0449725	0.0374264	0.251443	0.0984418	0.0992918	0.030854	0.0264785	0.0107457	0.00263393	0.0154388	0.00105064	0.00135398
s	0.035362	0.0397614	0.193603	0.0985878	0.413203	0.139393	0.0193798	0.0353504	0.018638	0.00430601	0.0012915	0.000851933	0.000239661	2.63528e-05	3.58555e-06	1.17123e-06	8.53776e-07
ì	0.00296098	0.00141382	0.022068	0.0455882	0.320421	0.0533885	0.0293312	0.262781	0.105233	0.10103	0.028011	0.0183258	0.00415643	0.00181646	0.00223584	0.000483595	0.000756038
m	0.019592	0.0138826	0.237964	0.0964234	0.397679	0.081339	0.0958929	0.0309006	0.0170212	0.00338252	0.00287291	0.00127886	0.00164602	0.000107619	1.07532e-05	6.33038e-06	3.74522e-07
m	0.00952527	0.00526222	0.0167166	0.0695807	0.0845826	0.0328564	0.0300595	0.327307	0.123235	0.149256	0.0293783	0.0566099	0.0132502	0.0024894	0.0402591	0.00713919	0.00249302
e	0.00619488	0.105285	0.205351	0.306432	0.0893773	0.240257	0.0268717	0.0119811	0.00430114	0.000708383	0.00236762	0.000400337	7.23996e-05	5.83323e-06	0.000394342	1.25119e-06	2.06059e-07
r	0.000207094	0.000303302	0.0134278	0.00562773	0.435276	0.0819204	0.0307436	0.152091	0.0991444	0.0891146	0.0427413	0.0243453	0.0157726	0.00912218	7.80798e-05	7.59228e-05	8.57413e-06
i	0.000869283	0.000120433	0.0101282	0.0066291	0.205401	0.0495862	0.0450362	0.251593	0.122328	0.156624	0.0750132	0.0481715	0.0122987	0.00879917	0.00357733	0.00320249	0.000622284
ì	9.80047e-05	0.000599217	0.0150357	0.00682864	0.446184	0.109404	0.0324536	0.138343	0.104679	0.0875319	0.025936	0.0212122	0.0074617	0.00411879	3.347e-05	7.45708e-05	7.18435e-06
c	0.0296137	0.000414849	0.030865	0.0123882	0.0598981	0.00236705	0.0685393	0.0174891	0.00954671	0.00993075	0.0315856	0.01007	0.565205	0.139944	0.00687121	0.00517304	9.89861e-05
h	0.002946	0.000906769	0.00480859	0.0094537	0.0397317	0.00431936	0.0605802	0.171146	0.0736331	0.124256	0.0434371	0.0607188	0.227212	0.0492684	0.0669434	0.0602918	0.000347115
e	0.000384408	0.0391023	0.0656214	0.309224	0.161066	0.152541	0.0913913	0.0614176	0.042909	0.0193886	0.0226306	0.0106135	0.0128431	0.00233976	0.00842966	6.95429e-05	2.79478e-05
n	5.56976e-05	0.000638655	0.00523752	0.0065442	0.343381	0.0640032	0.0242516	0.155582	0.131705	0.169292	0.0269471	0.0413978	0.01781	0.0122531	3.23147e-05	0.000652678	0.000216398
a	3.1029e-06	6.03294e-06	0.000646488	0.00344573	0.0484064	0.0155148	0.0378028	0.230703	0.139099	0.204018	0.0389776	0.106831	0.0769409	0.0398488	0.00326319	0.0526437	0.00184968
k	1.61083e-05	7.153e-05	0.00674505	0.00235062	0.338655	0.0656153	0.0378463	0.142732	0.105144	0.135512	0.0586823	0.0472843	0.0280149	0.0297057	8.16136e-05	0.00149532	4.8112e-05
à	0.000821603	0.000483971	0.0054307	0.0160564	0.0557865	0.0227857	0.0308524	0.227734	0.114623	0.215523	0.0672549	0.103557	0.03929	0.0195762	0.0416955	0.0346788	0.00384994
m	6.35601e-06	1.42589e-05	0.00428213	0.00216832	0.225595	0.0537384	0.185798	0.104512	0.0612675	0.0563586	0.100993	0.0436344	0.0926584	0.0573826	0.000254335	0.0112967	4.02407e-05
i	0.000925292	0.000709472	0.00332107	0.0175327	0.0340047	0.0180874	0.0230152	0.268868	0.129154	0.220671	0.0367153	0.111364	0.0279281	0.00770141	0.0412231	0.0523709	0.00640698
f	2.75686e-06	1.47424e-05	0.0012524	0.000733483	0.247901	0.043982	0.017974	0.154206	0.101887	0.199977	0.096609	0.0608448	0.0205023	0.0508943	0.000115768	0.00293592	0.000167612
r	0.000121344	3.57373e-05	0.00176975	0.00181625	0.0386878	0.018318	0.0253261	0.181832	0.106918	0.232736	0.0894449	0.122202	0.0274176	0.0300415	0.016545	0.104691	0.00209556
ì	0.000141598	0.00768375	0.0143905	0.130619	0.0708516	0.143578	0.100318	0.121465	0.0687968	0.0630257	0.0793516	0.0649531	0.0324772	0.0132902	0.0824281	0.00654	9.0377e-05
s	3.04241e-05	0.000102225	0.00226018	0.000977995	0.202238	0.0549062	0.0503433	0.120747	0.101278	0.160613	0.0682569	0.0629956	0.0425194	0.0654155	0.000131629	0.0627076	0.00447679
k	0.000334699	0.000112533	0.00298451	0.00653357	0.0352167	0.0126229	0.0317482	0.196516	0.110666	0.190713	0.0567966	0.108437	0.047989	0.0222095	0.0346178	0.13724	0.00526259
o	0.000255494	0.00925718	0.0142941	0.0972509	0.0647626	0.209622	0.111524	0.108725	0.0542285	0.0464075	0.0978985	0.0575755	0.0190154	0.00778629	0.0978822	0.00350014	1.37917e-05
o	3.97734e-06	1.64937e-05	0.000722927	0.000311561	0.164255	0.0225462	0.00884544	0.12925	0.105699	0.289361	0.0800561	0.0720538	0.0209338	0.086442	0.000101971	0.015069	0.00433194
t	4.6556e-05	4.84007e-06	0.00100039	0.000608141	0.028292	0.00293065	0.0148149	0.0265334	0.0127884	0.029322	0.0854552	0.0313625	0.32816	0.390811	0.00591341	0.0403501	0.00160568
s	0.000194322	0.000123602	0.00185291	0.00526739	0.0313614	0.0167006	0.0243351	0.191143	0.106958	0.232064	0.069184	0.123934	0.0400641	0.0267442	0.035158	0.0891881	0.00572798
ì	0.000398033	0.00198116	0.00446742	0.0179163	0.0304326	0.0667217	0.0458659	0.110741	0.0518975	0.0798813	0.157855	0.100423	0.0298689	0.0253154	0.244886	0.0312641	8.4623e-05
c	1.25729e-05	3.11117e-06	0.000235208	8.37078e-05	0.0695381	0.0144207	0.014361	0.0838127	0.0525771	0.149767	0.105561	0.067648	0.0418961	0.155871	0.000247689	0.222482	0.0214832
h	0.000132067	1.692e-05	0.00305661	0.0030026	0.0305865	0.00522968	0.0551309	0.107651	0.0725571	0.0948149	0.0584759	0.0684102	0.0924889	0.055546	0.0212934	0.330539	0.00106808
r	0.000158428	0.00534296	0.0112739	0.0627438	0.0656063	0.155863	0.10425	0.11034	0.0658866	0.0662467	0.110569	0.0773679	0.0371643	0.0206377	0.0972919	0.00923525	2.2755e-05
a	0.000194404	0.000991469	0.00245365	0.0104257	0.0235892	0.0498088	0.0377171	0.101624	0.0532967	0.0949987	0.146445	0.117861	0.0382637	0.0398242	0.202131	0.0800915	0.00028356
c	4.84227e-06	8.95753e-06	0.000454332	0.000147596	0.1132	0.0127301	0.00564627	0.0960082	0.0842288	0.27279	0.0662102	0.0671475	0.02203	0.11404	8.16914e-05	0.0430138	0.102259
e	3.89467e-06	4.17631e-07	0.000623023	0.000282059	0.0201699	0.0033804	0.0294044	0.062856	0.0343801	0.069025	0.11211	0.0671339	0.0612693	0.12167	0.00939792	0.408028	0.000265341
e	4.67279e-05	0.00227242	0.0117981	0.0114664	0.364867	0.0836171	0.0451166	0.0860038	0.0784205	0.126445	0.0617253	0.0435667	0.0267689	0.0395214	0.000305145	0.0121978	0.00586133
n	7.19747e-06	6.03725e-07	0.000284072	0.000104829	0.0653691	0.00849439	0.0103961	0.0666603	0.0326093	0.104457	0.145228	0.0653429	0.0685358	0.268409	0.000409823	0.128618	0.0350744
ì	3.81218e-06	5.51683e-06	0.0002063	0.000680556	0.0195478	0.0118884	0.0143241	0.133433	0.0909958	0.232259	0.0523364	0.118187	0.0281108	0.0435076	0.00469641	0.22833	0.0214867
s	3.55619e-06	1.91653e-07	8.63164e-05	2.3632e-05	0.0150993	0.00269378	0.0123972	0.0180919	0.00860275	0.0217772	0.0534341	0.0201234	0.0294194	0.0928149	0.000225037	0.718314	0.00689365
o	0.000118588	0.000114877	0.00103692	0.00535085	0.00926884	0.0051613	0.0178481	0.0852543	0.0479123	0.0992087	0.0361649	0.0826532	0.0583416	0.0268567	0.0886183	0.425231	0.0108595
z	1.66313e-06	1.16653e-06	0.00012007	8.28969e-05	0.066016	0.0144429	0.00818501	0.0950901	0.0587794	0.202816	0.111901	0.0778948	0.0189712	0.114456	0.000264844	0.148733	0.0822436
e	5.62312e-05	1.37429e-05	0.000833961	0.000610768	0.0158974	0.0080859	0.0156243	0.084407	0.0600842	0.135717	0.0604624	0.0896119	0.0230361	0.0348235	0.0144016	0.454115	0.0022187
k	1.96329e-06	9.54819e-07	0.000113759	6.59154e-05	0.0643611	0.0134428	0.00728145	0.0970132	0.0569548	0.21027	0.123492	0.0816021	0.0186593	0.120442	0.000272884	0.1453	0.0607261
à	0.000417944	0.000100899	0.00250143	0.00178739	0.0319104	0.0181475	0.0193455	0.142436	0.0906133	0.217243	0.093794	0.120605	0.019654	0.0274621	0.0255955	0.186658	0.00172856
m	1.38126e-06	4.50019e-08	1.00112e-05	3.77313e-06	0.00432908	0.000710944	0.00267071	0.00769231	0.00350909	0.0126844	0.030781	0.0106644	0.0139747	0.0780928	0.000158786	0.789031	0.0456855
i	0.000417722	0.000273289	0.00160214	0.00540825	0.0221369	0.0160119	0.0156927	0.175596	0.107072	0.223035	0.0471088	0.124068	0.019572	0.0122476	0.0264387	0.19123	0.0120881
o	1.43975e-06	6.35483e-07	7.89367e-05	5.85834e-05	0.0442487	0.012704	0.00665489	0.0879512	0.0526473	0.185096	0.112954	0.0835947	0.0160309	0.104813	0.00031371	0.174255	0.118597
b	1.72306e-05	6.65708e-07	0.000161373	9.36962e-05	0.01233	0.0018545	0.00603304	0.018659	0.00645544	0.0224121	0.12461	0.029481	0.0982866	0.321706	0.00580872	0.298608	0.0534827
à	4.1346e-06	2.63124e-06	0.000165833	0.000585207	0.00494073	0.00191402	0.0138132	0.0509589	0.0300768	0.069438	0.0346726	0.0589154	0.0608245	0.0525205	0.0322279	0.582344	0.00659533
g	1.19196e-06	4.41718e-08	1.45265e-05	5.07086e-06	0.00405633	0.000644544	0.00332362	0.00479545	0.00216168	0.00634157	0.019337	0.00623447	0.00899207	0.0397027	6.94888e-05	0.877063	0.0272576
