 	era	molto	stanco	</S>
ì	8.410752e-06	6.5982225e-05	0.0008967154	0.9990289
o	0.0009939194	0.3293887	0.64403164	0.025585724
n	0.0021772503	0.16501	0.6750702	0.15774252
e	0.93713194	0.03610294	0.025918532	0.0008466301
p	0.08607451	0.18948813	0.5168703	0.2075671
o	0.017571274	0.25754693	0.68122494	0.043656915
d	0.061190635	0.06739642	0.3296245	0.54178846
d	0.00093968835	0.32549658	0.6572516	0.01631209
h	0.6504072	0.072588444	0.16937204	0.10763231
ì	0.6666953	0.056906246	0.21752197	0.058876485
s	6.285408e-05	0.05223059	0.7294993	0.21820727
t	0.058946304	0.32170904	0.5536704	0.06567425
r	0.57682705	0.08727443	0.24878703	0.08711146
à	0.31980455	0.117536925	0.304052	0.25860652
k	3.822299e-06	0.00787635	0.34764665	0.6444732
k	0.06978462	0.21912381	0.5686979	0.14239362
o	0.4777202	0.15884092	0.292171	0.07126782
</S>	5.7183956e-07	0.0005566809	0.020138279	0.97930443
