 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.00036299933	0.00066642	0.00067119085	0.0051643285	0.043200042	0.005859954	0.04952602	0.015987812	0.01201566	0.026517587	0.420034	0.41999394
j	0.025680896	0.967448	0.006868459	2.2139886e-06	1.859795e-09	3.89344e-07	2.635222e-09	9.625339e-08	1.3828529e-08	9.114526e-09	1.14850345e-10	1.8061672e-10
i	0.5973261	0.2334249	0.11941259	0.04172186	0.0054397797	0.0005810582	0.00071239466	0.00072267256	0.0004901613	0.00014600692	2.134307e-05	1.1031042e-06
n	0.09760529	0.35687658	0.5428174	0.0026881301	7.709897e-06	1.2946646e-06	2.7482592e-06	7.305046e-07	8.861435e-08	2.1609095e-08	1.7595089e-09	1.0367934e-09
è	0.0033070093	0.036127128	0.9526554	0.0044011264	0.00075841165	0.00086092117	0.00018120994	0.0010624988	0.000541646	9.8737626e-05	4.202522e-06	1.6991664e-06
k	0.009004282	0.9229164	0.06805847	1.9919646e-05	2.4092579e-08	5.5439835e-07	3.3743294e-08	2.9639253e-07	1.660066e-08	8.289584e-09	1.6733397e-10	6.779253e-11
a	0.03518339	0.018797591	0.22511151	0.30231288	0.17051025	0.023612045	0.10890002	0.093124025	0.0105869435	0.009407696	0.0022784173	0.0001752143
è	0.013501824	0.08483941	0.89608324	0.005451262	5.660291e-05	1.2836477e-05	3.5688554e-05	1.756162e-05	1.2201172e-06	3.4753842e-07	1.9049992e-08	1.136434e-08
n	0.0004333407	0.97482747	0.024670605	6.0220078e-05	1.3929726e-07	5.5168457e-06	1.17757246e-07	2.2632194e-06	2.0182456e-07	1.1955782e-07	2.3470928e-10	4.7682268e-11
e	0.0051986487	0.008303219	0.31393737	0.18439257	0.1164612	0.05971258	0.08421321	0.1581124	0.041207124	0.026204858	0.0021013794	0.00015537416
k	0.00067595154	0.022062175	0.96851826	0.008051893	0.00019002818	0.00011905731	0.00016916679	0.00019870541	1.0896151e-05	3.7348586e-06	7.066802e-08	3.584609e-08
a	0.020263987	0.016976079	0.21622363	0.44820866	0.110095195	0.021800024	0.06218528	0.08178624	0.009997878	0.0062059416	0.005261678	0.0009953929
p	0.00032825678	0.01695458	0.96850866	0.010594334	0.0005006784	0.0007950958	0.00065989536	0.0014735332	0.00012248257	6.04612e-05	1.007467e-06	8.54449e-07
à	0.00063113024	0.013902118	0.49009603	0.07155137	0.04118449	0.0675663	0.025175236	0.1793438	0.07061957	0.029225852	0.009682427	0.0010216996
c	5.376502e-06	0.026378665	0.9638408	0.001127824	5.3291016e-05	0.003820205	0.00015365116	0.0038315887	0.00046138625	0.00032518193	1.399243e-06	6.196787e-07
e	6.8463014e-05	0.13250826	0.8383674	0.00241893	0.0014362251	0.0040411945	0.0010529265	0.008228233	0.0077664778	0.0036304337	0.0004743984	7.0142696e-06
n	0.00023699403	0.0840333	0.768777	0.064083904	0.017786093	0.020364452	0.006777662	0.019822849	0.0146285575	0.00342554	2.2834689e-05	4.076267e-05
a	2.764796e-06	0.000951179	0.038241576	0.0028661005	0.0005640544	0.18780346	0.0010512578	0.26326692	0.39441445	0.079249196	0.030761426	0.00082764553
p	2.7918639e-05	0.01854615	0.7743642	0.0045612343	0.0009417793	0.06295767	0.0024295375	0.06419542	0.046948686	0.024739603	0.00017164345	0.00011616525
u	3.835847e-06	0.005082189	0.22487798	0.004732574	0.005125484	0.10845452	0.0060893395	0.22202884	0.261298	0.109143995	0.052277945	0.00088533445
l	2.7650694e-06	0.003947267	0.8579293	0.01174386	0.0035697534	0.046566647	0.0043315915	0.03542536	0.024844166	0.011587553	3.1295534e-05	2.0465926e-05
i	0.00014965393	0.004626849	0.14508438	0.03789245	0.021865936	0.12339271	0.021061882	0.26748136	0.22438727	0.09311169	0.05878465	0.002161188
z	6.3179955e-06	0.0028152794	0.71162105	0.017985864	0.0073357197	0.07504802	0.009779919	0.07616126	0.06669214	0.032232102	0.00019282455	0.00012947753
z	0.0002804132	0.006727087	0.29449517	0.010371906	0.014082256	0.08861031	0.018967085	0.2009687	0.17723286	0.11142419	0.07369931	0.00314069
è	7.50359e-05	0.0001706182	0.0036953397	0.5597769	0.29840076	0.0052101808	0.1165477	0.0140176695	0.0006626895	0.0012309501	0.00020420013	7.895206e-06
s	9.481781e-06	0.027175166	0.4031904	0.0049632676	0.0021685227	0.13317877	0.002806542	0.052576788	0.25342664	0.11221613	0.0033854228	0.0049028154
s	0.0008150408	0.02114913	0.32455957	0.009104078	0.006795911	0.06863156	0.0140628405	0.18555808	0.13242231	0.07250776	0.15967423	0.0047195223
i	0.00028489737	0.00026448394	0.0016359134	0.15639217	0.40840486	0.008942749	0.36592	0.044928625	0.0022969574	0.009353063	0.0015488723	2.7342596e-05
è	4.5272186e-06	0.0013478695	0.07102997	0.0027573162	0.0045374567	0.080603346	0.0048910477	0.065861985	0.5916188	0.16708855	0.004939846	0.0053193383
n	1.7816581e-05	0.019822642	0.106705666	0.00040437374	0.00031979597	0.08749664	0.0023557518	0.09130719	0.2312985	0.42230308	0.028289698	0.009678896
a	0.0005781976	0.0072624767	0.03987462	0.022304328	0.011807188	0.07851221	0.01777515	0.22968198	0.19573927	0.083110765	0.30421767	0.00913613
p	1.8558635e-06	0.00050333375	0.034080952	0.0039549395	0.010363657	0.09513097	0.010169992	0.0928711	0.52509594	0.20679869	0.009725046	0.0113035645
u	2.248098e-06	0.0020118633	0.121770754	0.0002879604	0.0008818162	0.07245216	0.0030715514	0.12320579	0.2993083	0.18595058	0.19000098	0.0010560644
l	1.0776777e-06	0.0005026096	0.03421954	0.004163533	0.009388771	0.09646621	0.008499546	0.0723339	0.5466075	0.19850786	0.010663788	0.018645624
i	4.849039e-05	0.0025062782	0.09579601	0.0026371693	0.0062219272	0.0727427	0.012849515	0.15071677	0.26771152	0.17297404	0.21284632	0.0029492981
z	1.0740482e-06	0.00030168137	0.01906799	0.001961122	0.0058169	0.07997258	0.006511861	0.07423673	0.5363867	0.22050624	0.02044228	0.034794852
z	4.988214e-05	0.0030391312	0.13084798	0.0008635723	0.002856391	0.0652251	0.0077113	0.11969351	0.2586719	0.18066339	0.2281829	0.0021949701
è	0.00012440427	0.00030362958	0.001583369	0.2526489	0.34526423	0.027100937	0.24452752	0.07019139	0.012694919	0.025549725	0.019754333	0.00025665015
s	3.4887278e-06	0.0027387142	0.01647228	0.0007161273	0.0010543579	0.046263166	0.0011329553	0.016670933	0.39687556	0.17374657	0.07243001	0.27189595
s	0.00042511587	0.013868611	0.19373287	0.0027066125	0.0030355898	0.055846013	0.008550676	0.11601596	0.16540854	0.08864326	0.34645218	0.0053145136
i	0.00064130995	0.0007495599	0.0018312164	0.052298833	0.320116	0.017529195	0.42818856	0.07438836	0.012268164	0.047412403	0.044432327	0.00014406009
o	1.0159916e-06	0.00014229477	0.004214702	0.00048399993	0.0023944192	0.032548063	0.0021949743	0.026250582	0.46335164	0.1456786	0.047153406	0.27558625
s	8.949519e-06	0.0006002815	0.00884514	0.000249829	0.0008978833	0.05700304	0.0073108	0.10266234	0.24615346	0.39949355	0.09070571	0.08606899
p	0.00010683674	0.0032669185	0.07374738	0.0014674742	0.0045915307	0.05366173	0.01090977	0.11059355	0.22525674	0.15814744	0.3529768	0.005273864
ì	0.00010367492	0.00033609648	0.0011539735	0.10482458	0.33486906	0.028857566	0.28854528	0.08709246	0.022830063	0.053315066	0.077024065	0.0010481317
t	1.702926e-06	0.00097284385	0.003995276	0.0001817391	0.00042151325	0.019377379	0.00046260894	0.0072227423	0.23265865	0.11449322	0.100363046	0.5198493
i	0.0017415559	0.0250467	0.25432408	0.003918886	0.0049604364	0.04904341	0.013258848	0.106322214	0.12699449	0.07891677	0.32762885	0.007843697
k	7.227072e-07	8.893276e-05	0.0018828727	0.0002515479	0.0018008556	0.024210144	0.001665297	0.021839444	0.29692537	0.11744225	0.07520003	0.45869255
a	0.0007478523	0.007952829	0.11098265	0.0028510545	0.014856212	0.054781348	0.0338518	0.105303384	0.21543601	0.18363711	0.26708955	0.0025101798
m	6.4563324e-07	8.2062434e-05	0.0013411703	0.00012550339	0.0011945635	0.021352777	0.0015332589	0.023613492	0.23989137	0.13250042	0.10089286	0.47747195
è	0.0011379878	0.008555943	0.08192539	0.00414501	0.020386545	0.04658247	0.040843822	0.09591853	0.18028186	0.15502012	0.3606798	0.0045225276
r	2.8743779e-07	0.00030550576	0.0012760645	1.0337729e-05	0.00014385067	0.011958691	0.0004610264	0.014093174	0.14761458	0.18340805	0.22685507	0.41387337
i	0.0013674448	0.008838125	0.030984301	0.006682778	0.013982764	0.029615717	0.0303853	0.06605063	0.096235536	0.07171944	0.6334209	0.010717102
</S>	2.159345e-07	2.5133695e-05	0.00028416383	2.72092e-05	0.00022018998	0.0057558334	0.00023898983	0.005043481	0.062609516	0.030124947	0.05709225	0.8385781
