 	è	che	sono	usciti	</S>
è	1.5985992e-05	1.0823886e-05	0.00040964375	0.029200355	0.97036314
n	0.10246722	0.117742956	0.000281035	0.7788979	0.0006108338
a	0.011102668	0.10062239	0.16169524	0.7043469	0.022232832
g	0.14746587	0.78443485	0.0549456	0.008593601	0.0045600985
u	0.0007861066	0.042242266	0.2183234	0.7384434	0.00020481097
ì	0.16746001	0.6988422	0.055324133	0.034635656	0.043737873
k	0.00323592	0.023214476	0.0023123894	0.9707418	0.0004953531
a	0.008804648	0.0532789	0.41537932	0.48344427	0.039092846
n	0.009377512	0.18759623	0.44759142	0.109585054	0.24584976
e	0.00094505586	0.014970236	0.7268742	0.24232455	0.0148859555
</S>	0.00091281906	0.012473599	0.08280837	0.11074212	0.79306304
