 	quando	io	divento	vecchia	vendo	la	casa	vendo	la	casa	a	Trieste	vengo	e	abito	a	Martano	</S>
m	0.00267006	0.000220338	0.000457417	0.00623387	0.000122501	0.000147722	0.0016187	0.000126059	0.000297663	0.00188035	0.0003627	0.00034179	0.00189192	0.00540471	0.000846098	0.000764485	0.394936	0.581677
ò	0.762311	0.0650465	0.0583662	0.112367	0.000721388	0.000869983	0.000288211	4.23281e-07	3.39366e-06	1.67991e-05	1.70243e-06	2.22104e-06	2.21302e-06	7.76289e-07	1.81565e-06	2.22485e-07	5.05457e-08	1.22972e-08
t	0.685549	0.0225398	0.20292	0.0887203	0.000158622	0.000111848	3.58413e-07	1.16724e-09	1.35934e-08	1.68267e-09	1.70754e-09	1.63754e-09	3.55714e-10	1.19775e-11	2.06402e-10	1.12194e-10	8.37065e-14	9.0807e-13
t	0.52598	0.00267426	0.0113445	0.424851	0.00411268	0.0059026	0.0191763	7.39137e-05	0.000600844	0.00285689	0.000427064	0.00031023	0.00039984	0.000357197	0.000533627	0.000182345	0.000195594	2.10385e-05
i	0.00121989	0.00259308	0.00368819	0.00913975	0.929453	0.0446558	5.79117e-05	0.00864652	0.00047275	1.56439e-06	4.31271e-05	2.68312e-05	1.08654e-06	1.49207e-07	7.3429e-08	1.30099e-07	8.00331e-09	1.50644e-09
i	0.289617	0.0773689	0.0792096	0.489731	0.0135137	0.0493239	0.000854458	5.15406e-05	0.000225146	4.32245e-05	3.29626e-05	1.82278e-05	7.31304e-06	3.63976e-07	1.39592e-06	3.71541e-07	4.56016e-08	2.18576e-07
v	0.975279	0.00676063	0.0147615	0.00304111	1.17387e-05	0.000142614	1.95964e-06	6.75556e-09	5.32651e-07	1.03549e-07	9.58784e-08	5.95269e-07	1.6399e-07	5.72756e-09	9.25412e-08	1.01182e-07	8.31641e-12	7.23131e-11
ò	0.0256976	0.000430273	0.0237873	0.859652	0.0683217	0.00920293	0.0107174	0.0002723	0.000419411	0.000797909	0.000172863	0.000146175	0.000134453	9.92166e-05	8.78287e-05	5.78851e-05	2.71149e-06	4.20102e-08
e	0.0551537	0.0102111	0.234362	0.697607	0.00204338	0.000612143	1.0753e-05	3.7469e-08	2.01387e-07	3.86056e-08	5.20848e-08	1.00629e-08	4.42341e-09	9.07211e-10	1.48925e-09	9.00139e-10	4.48022e-12	2.43335e-12
g	0.425925	0.00733839	0.232049	0.33076	0.000167976	0.00323936	0.000450917	1.10176e-07	1.91169e-05	2.39199e-05	4.09442e-06	1.08452e-05	2.23092e-06	3.59265e-07	8.01385e-06	1.95446e-06	8.66246e-11	8.3948e-11
