 	è	che	sono	ancora	svegli	che	ha	la	luce	accesa	</S>
è	4.567176e-05	4.0008086e-05	6.3979096e-05	0.0004815215	0.0010270783	0.0015428804	0.0012030171	0.0013773796	0.0033095104	0.24446523	0.74644375
n	0.49473	0.49617967	0.007580067	0.0013732712	0.00011385297	1.1895279e-05	5.8044993e-06	4.94725e-06	4.394872e-07	6.84666e-12	5.1601173e-10
a	0.051573016	0.18915571	0.26201034	0.17107482	0.037253045	0.031438764	0.08244135	0.05346277	0.12041669	0.00031969105	0.00085379987
s	0.1494129	0.37071344	0.32338673	0.1450209	0.010022477	0.0009631543	0.00031518075	0.00013763607	2.7222513e-05	1.2850576e-08	2.5558822e-07
t	0.0033656133	0.037814796	0.21726844	0.48052838	0.13754901	0.057117864	0.037559975	0.023081051	0.005355331	0.00014408682	0.00021551874
a	0.056263726	0.67674506	0.19917491	0.05465231	0.012085622	0.00085896143	5.2135103e-05	0.00016542197	6.700008e-07	1.1031728e-06	2.0262404e-07
s	0.058584712	0.24676661	0.36858732	0.27920964	0.038861267	0.0048633018	0.0019170699	0.0011105101	9.654045e-05	4.1385414e-07	2.5922907e-06
ù	0.0025396682	0.013387306	0.08563877	0.5279995	0.19439973	0.10121728	0.0429606	0.025266943	0.003536423	0.0021893685	0.00086440914
n	0.11591943	0.31229374	0.19938937	0.348162	0.01855261	0.0028069993	0.0018187142	0.0010096782	4.7049827e-05	1.1372048e-07	3.500156e-07
a	0.00010311577	0.0036746664	0.042339887	0.075821124	0.06161587	0.09253925	0.3102189	0.27155098	0.13050213	0.010593708	0.0010404228
n	0.007390445	0.065236405	0.19185643	0.5017723	0.16298056	0.03223636	0.023759246	0.013090129	0.0016591569	4.959952e-06	1.4033195e-05
k	9.716875e-05	0.0029635446	0.049006965	0.1892233	0.113161005	0.106485635	0.21903802	0.1981943	0.055648163	0.06464861	0.001533203
