 	non	aveva	da	stare	</S>
e	4.44926e-06	4.4669e-06	0.000176132	0.184753	0.815062
n	0.710954	0.281806	0.00483616	0.0018655	0.000538511
ì	0.0623016	0.834505	0.0821152	0.0156918	0.00538614
c	0.21003	0.692506	0.0749025	0.0173808	0.00518021
h	0.0442811	0.633828	0.311764	0.00786936	0.00225746
e	0.0471633	0.711852	0.108582	0.0313636	0.10104
n	0.00538771	0.551189	0.423316	0.00200246	0.0181047
a	0.0050269	0.160249	0.195411	0.603528	0.0357848
s	0.0155554	0.369042	0.4372	0.0440828	0.13412
t	0.014167	0.261542	0.160706	0.520224	0.0433609
a	0.0057862	0.00804719	0.00217912	0.98252	0.0014677
s	0.00280069	0.0746797	0.243714	0.0388263	0.63998
ì	0.0476477	0.554503	0.332705	0.0582495	0.00689508
</S>	0.000397142	0.00404525	0.0331942	0.246027	0.716336
