 	non	ho	cosa	a	fare	</S>
e	1.64651e-05	1.95716e-05	3.75229e-05	0.000285191	0.0958706	0.903771
n	0.680122	0.226124	0.0640552	0.0240955	0.00521245	0.000390144
è	0.0419354	0.402706	0.405831	0.138014	0.0103266	0.00118615
c	0.0580119	0.315902	0.526486	0.0920959	0.00728214	0.000221651
h	0.0140217	0.157102	0.648558	0.156696	0.023572	4.96648e-05
o	0.0288421	0.275481	0.61491	0.061889	0.0067646	0.0121129
t	0.00277515	0.131606	0.841679	0.0135781	0.00697376	0.00338778
i	0.0190207	0.116144	0.135929	0.570688	0.15611	0.00210807
k	0.0150309	0.274184	0.477499	0.139047	0.0425876	0.0516519
à	0.030551	0.120416	0.108081	0.469461	0.262121	0.00936975
m	0.000716197	0.022328	0.058475	0.158801	0.603889	0.155792
i	0.0396002	0.234997	0.292518	0.246966	0.171851	0.0140673
</S>	0.000172831	0.00544021	0.0103013	0.0474854	0.319858	0.616743
