 	dei	genitori	</S>
à	0.00019868418	0.004345561	0.99545574
t	0.99496114	0.005013037	2.5874886e-05
t	0.06564564	0.9004451	0.03390931
u	0.011391134	0.9882642	0.0003447118
s	0.043727893	0.8849673	0.0713048
g	0.02495414	0.9742861	0.0007597634
e	0.0002730477	0.9983448	0.0013822461
n	0.020738777	0.28437784	0.6948834
i	0.0013281275	0.9953028	0.0033690073
t	0.005850652	0.1836658	0.8104836
ò	0.008767721	0.9720016	0.019230623
r	0.010059624	0.824209	0.1657313
u	0.07976664	0.87216	0.048073355
</S>	6.0217975e-05	0.024471292	0.9754685
