 	che	non	li	aspetiamo	</S>
n	1.3600614e-06	2.0595212e-06	2.2313687e-05	0.023882667	0.97609156
a	0.21539362	0.56457275	0.11759386	0.09499086	0.007448899
m	0.09683147	0.53334796	0.36807188	9.44093e-05	0.0016542507
i	0.10388797	0.6513769	0.2408461	0.0035044905	0.00038457065
t	0.045477953	0.8473577	0.10291975	0.00031716283	0.0039275303
u	0.021927064	0.45514923	0.4166547	0.08594869	0.02032026
s	0.071577355	0.7763342	0.13159806	0.008319268	0.0121710105
m	0.012680129	0.0906364	0.05463028	0.82370365	0.01834953
ì	0.78326356	0.17653431	0.026052052	0.013929705	0.00022024917
n	0.011203234	0.11392262	0.8357198	0.020844445	0.018309869
o	0.0007922989	0.066618316	0.3425587	0.5696615	0.02036912
m	0.0010442276	0.026788771	0.043475043	0.14489718	0.78379476
e	0.09050523	0.2761961	0.08303223	0.5432354	0.0070309946
</S>	0.00051128323	0.015515352	0.060882222	0.2962973	0.6267938
