 	vuole	pianto	</S>
e	4.8219763e-06	0.0013151541	0.99868006
t	0.9959453	0.00085854164	0.003196261
è	0.07447631	0.8754578	0.050065782
l	0.9706924	0.0058481316	0.02345949
i	0.304544	0.68027097	0.015184971
k	0.5211658	0.035313495	0.44352075
l	0.009559389	0.98681146	0.0036290716
a	0.00015026751	0.9998355	1.4229817e-05
m	0.029763976	0.0047913273	0.9654447
m	0.017204987	0.97500366	0.00779136
è	0.0031202892	0.9968675	1.2267637e-05
n	0.011062429	0.001024812	0.9879127
o	0.076780885	0.73095006	0.19226909
</S>	0.00045794286	9.898444e-06	0.9995322
