 	è	pericoloso	di	nuotare	di	notte	</S>
è	1.7489203e-05	1.0136658e-05	3.4194483e-05	0.0009992961	0.014731144	0.009442203	0.97476554
p	0.9859796	0.013112636	0.0008749443	1.3604446e-05	4.7968026e-08	1.907857e-05	8.141105e-08
e	0.5330019	0.32798296	0.06558333	0.0037809515	0.002237458	0.06417024	0.003243192
r	0.51327145	0.28321278	0.2005051	0.0014775635	6.705912e-05	0.0013556388	0.00011040291
i	0.023300914	0.42711622	0.4245436	0.09500387	0.011300903	0.018575832	0.00015875437
k	0.6951799	0.16158015	0.14081247	0.001881361	0.00014483597	0.0003835702	1.7749371e-05
o	0.0071859066	0.0648336	0.09091936	0.62208176	0.1941397	0.019310758	0.001528941
l	0.5235137	0.17985867	0.2861866	0.009607655	0.0004897187	0.00032641407	1.7236025e-05
ò	0.005313296	0.03434635	0.09032349	0.54074526	0.29920146	0.027345927	0.0027241693
s	0.23002717	0.11790275	0.6189241	0.020098332	0.0016916578	0.011270332	8.566096e-05
o	0.0056655793	0.03433375	0.14820947	0.5172525	0.20689815	0.085364945	0.0022755452
n	0.042997	0.046613816	0.7847081	0.028191881	0.0405164	0.05272239	0.0042503504
a	7.704694e-05	0.00034137003	0.026675018	0.03567092	0.6476549	0.28385893	0.0057218764
n	0.018697055	0.014825398	0.71708727	0.0398036	0.076721765	0.12756762	0.005297307
a	4.3682896e-05	0.00021402702	0.009965956	0.022807471	0.61166054	0.34396	0.01134838
r	0.0072689643	0.010981755	0.54206717	0.06666984	0.15264416	0.21238895	0.007979141
è	0.000594804	0.0021613464	0.02037099	0.08611192	0.6530244	0.22966266	0.008073947
t	0.0017632237	0.0027025398	0.077554435	0.010996124	0.03147025	0.8730493	0.0024641342
s	0.0025800485	0.0064516254	0.022856992	0.09299546	0.71262836	0.15260252	0.009884971
i	0.0023915817	0.0149917705	0.011910811	0.713667	0.25273028	0.004154331	0.00015424102
à	0.000114157265	0.00013967686	0.023957629	0.0047292537	0.15447003	0.5394311	0.2771581
t	0.0026769908	0.0010660994	0.015576339	0.016443636	0.009348005	0.9361915	0.018697526
s	0.0016937737	0.004054253	0.014065902	0.07994003	0.777635	0.110742666	0.011868468
e	0.0019082503	0.008313199	0.008841416	0.5801202	0.3921791	0.008312921	0.00032487977
n	9.317139e-06	9.513054e-06	0.0019331302	0.0010222002	0.07422862	0.24618432	0.6766129
ì	0.000119801756	3.9551625e-05	0.0023248321	0.0068491367	0.80800515	0.15481229	0.027849248
t	4.630616e-05	3.2507842e-06	0.00062601734	0.0007440424	0.03369332	0.89710194	0.06778513
t	0.0004906016	0.0008701136	0.003754647	0.029722799	0.6932399	0.151362	0.1205599
a	0.0008654878	0.014535478	0.020887299	0.5457686	0.38023004	0.03547256	0.002240522
</S>	2.9519688e-07	7.879924e-07	6.0633185e-05	2.8812367e-05	0.0041728215	0.04745989	0.94827676
