 	tu	le	hai	cucinati	le	verdure	</S>
e	2.1478743e-05	1.2882877e-05	8.97542e-06	9.012732e-06	0.00253385	0.17883785	0.818576
s	0.9529687	3.3393215e-05	0.03586639	0.011111526	1.1262609e-05	7.234076e-07	8.0446725e-06
ù	0.60386926	0.110526435	0.187699	0.09785574	1.2400089e-05	1.0386345e-05	2.6857679e-05
t	0.98483366	0.00084468676	0.006051564	0.008264273	1.523219e-06	1.9373547e-06	2.309582e-06
a	0.061042722	0.03453894	0.5433808	0.3002185	0.027978063	0.027500182	0.005340847
m	0.64946383	0.008691242	0.11375439	0.22801217	1.638213e-05	1.503706e-05	4.6899775e-05
à	0.057566643	0.0901509	0.5836736	0.10571216	0.08225056	0.0717556	0.008890526
r	0.92234886	0.0012649122	0.041908477	0.034170043	3.214106e-05	0.0002573683	1.8130851e-05
e	0.0236815	0.006776845	0.51475394	0.40301597	0.024276847	0.02309624	0.0043986677
t	0.12275661	0.0035932004	0.09261314	0.7773921	7.086718e-05	0.0003564158	0.0032176324
s	0.030712243	0.034927476	0.5196371	0.23199108	0.0702895	0.09771264	0.014729897
e	0.012006327	0.64928037	0.06417181	0.0014807205	0.22164531	0.051044192	0.00037132748
t	0.14435884	0.00033078733	0.03841726	0.7962842	0.000113517664	0.0016988616	0.01879659
a	0.20832969	0.037843388	0.13312402	0.2927144	0.09214982	0.2295148	0.006323891
l	0.35819957	0.011255529	0.121241905	0.46512955	0.0015995738	0.017871128	0.024702786
à	0.16531909	0.02587449	0.094790645	0.15812694	0.122418	0.40749535	0.025975488
c	0.2703872	0.0010603076	0.030589063	0.074210905	0.0020469604	0.58528423	0.03642136
h	0.26672658	0.002687606	0.08674702	0.4839214	0.009677583	0.14496432	0.0052754073
a	0.0012983452	0.15913986	0.03140953	0.0018053969	0.47459665	0.331332	0.00041825467
n	0.0009021743	5.6710564e-06	0.00081339723	0.026451934	6.891359e-06	0.00076101144	0.9710589
a	0.017432211	0.00071099773	0.011675252	0.05482049	0.028884895	0.45687556	0.4296007
</S>	0.017978922	6.7336456e-05	0.0066091632	0.031929377	0.0005612589	0.11252526	0.8303287
