 	il	muro	vuole	uno	specchio	</S>
o	2.506252e-06	7.128231e-06	8.765383e-06	2.3211991e-05	0.012551181	0.9874072
t	1.907529e-05	0.10760729	0.035677567	0.85661405	7.8632205e-05	3.3565948e-06
ì	0.0057888506	0.76419103	0.16261351	0.057990428	0.009174429	0.00024175158
c	0.00013324275	0.70743245	0.1582454	0.13400808	0.00017345992	7.314387e-06
h	3.1524156e-05	0.7134564	0.036829952	0.2473357	0.0023354602	1.0883315e-05
o	0.0068497825	0.07154504	0.088936046	0.8303657	0.002033882	0.00026948116
t	1.3427094e-06	0.85042566	0.12053091	0.028899156	0.00011757751	2.5331636e-05
è	0.0013917586	0.48654765	0.0413713	0.013978436	0.45471537	0.0019955386
l	0.00030084423	0.7695185	0.16534147	0.06089079	0.0035134188	0.0004349726
i	0.0011426462	0.77495694	0.04807975	0.021685176	0.15332174	0.00081366696
n	0.00092067895	0.4703873	0.43803042	0.055125937	0.032850463	0.0026850982
a	2.1205838e-05	0.054603133	0.008441092	0.0022564633	0.92899764	0.0056804297
n	0.00033812204	0.27974328	0.5256885	0.042976595	0.13343966	0.017813839
g	9.102202e-06	0.026884	0.003316761	0.001176507	0.95838034	0.01023333
h	0.003580983	0.006422612	0.0072448305	0.036957536	0.9449591	0.0008349647
i	0.048060782	0.016997257	0.055810638	0.19570227	0.683257	0.00017199304
a	0.00023268028	0.1378181	0.43234476	0.045060206	0.12540214	0.25914216
l	2.871693e-07	0.033164337	0.04087118	0.82266885	0.05781112	0.04548422
ì	0.00023270717	0.033048473	0.0045960844	0.0035694428	0.94963	0.008923262
</S>	6.980337e-07	0.029206712	0.038595606	0.086532004	0.5665107	0.2791543
