 	la	macchina	si	è	rotta	e	vuole	riparate	dal	meccanico	</S>
e	2.9355419e-05	0.00013287776	8.177264e-05	0.00027324253	0.00022840088	0.0012433293	0.0017978096	0.010907881	0.016425671	0.23248595	0.7363937
m	0.054439165	0.93555146	0.0066137686	0.0019367095	0.001330402	8.7465996e-05	3.564762e-05	3.903863e-06	1.6098892e-06	8.625489e-10	5.1025366e-09
à	0.09131366	0.90228957	0.0031987033	0.0018460754	0.00028455025	0.0006237921	0.0003358271	9.262859e-06	7.543283e-05	2.19516e-05	1.2708797e-06
k	0.031695407	0.9318084	0.020670155	0.006403889	0.008904267	0.00048240056	3.3105724e-05	1.586402e-06	7.7553e-07	2.4477531e-09	1.7982865e-09
i	0.061357565	0.4847004	0.15515272	0.12165273	0.03551154	0.075966604	0.047858015	0.0013899233	0.009696166	0.0056319768	0.0010823949
n	0.08510891	0.66183627	0.2153115	0.027465517	0.007725196	0.0019528108	0.00056742894	2.6672328e-06	2.8457294e-05	7.7962983e-07	4.752261e-07
a	0.00053128955	0.17565955	0.16428843	0.27934653	0.17920099	0.13442788	0.056506585	0.0008403788	0.008364646	0.00074644404	8.728567e-05
e	0.022086333	0.6857339	0.21466658	0.05082505	0.020328963	0.0047090985	0.0015443212	6.7602477e-06	9.6748154e-05	1.2070509e-06	9.919087e-07
k	0.004403022	0.9145353	0.044263024	0.009961351	0.020082222	0.003501161	0.0027976264	0.00028159513	0.00017309142	4.5265475e-07	1.0871223e-06
l	0.018244062	0.1916603	0.14255975	0.16817649	0.049220935	0.17683637	0.12464084	0.0060862773	0.0456258	0.07434145	0.0026076613
à	0.26078868	0.028565556	0.21194653	0.38989028	0.031951234	0.059765104	0.016525147	7.1078675e-06	0.0005039834	4.8292768e-05	8.113152e-06
s	0.0076407795	0.49401134	0.14512387	0.14252813	0.1342855	0.047375835	0.021752695	0.00016895917	0.0070455372	3.761976e-05	2.9831855e-05
t	0.0075770486	0.24925241	0.22827186	0.13692191	0.13082974	0.13801923	0.039907813	0.0024173558	0.03263515	0.029899238	0.0042681624
i	0.06259964	0.005699922	0.11200609	0.47574925	0.057005446	0.21707876	0.06456195	6.712973e-05	0.005000042	0.00020984974	2.1941021e-05
c	0.0004342221	0.26725194	0.13368493	0.116475366	0.15938069	0.15263674	0.10564764	0.0024282795	0.061713587	0.00018530997	0.00016130069
e	2.1905174e-05	0.021764796	0.027891465	0.06090342	0.44873226	0.24695167	0.069103695	0.022813834	0.098130494	0.0036174853	6.89925e-05
e	0.00357485	0.20005567	0.10740425	0.101031855	0.20442404	0.13788296	0.10645892	0.004193817	0.1347899	0.00012692716	5.6938614e-05
t	0.00025173204	0.26855645	0.041738823	0.041309558	0.19309834	0.12893753	0.14158463	0.114616536	0.069593266	0.00012040663	0.00019273246
è	0.0048000165	0.0888317	0.054851927	0.09360118	0.046729345	0.19767863	0.14542626	0.01988093	0.15522218	0.1816532	0.011324669
l	1.9147366e-05	0.015051827	0.009214353	0.08368416	0.33722466	0.31809384	0.11347437	0.0150000965	0.10813632	7.607733e-05	2.5218593e-05
i	0.009043329	0.15722026	0.13138764	0.09842628	0.07336118	0.10297127	0.09242731	0.012086076	0.07817558	0.23672473	0.008176366
t	1.7452263e-05	0.023752343	0.013638224	0.05357663	0.07835183	0.2865603	0.16188696	0.01856221	0.3583121	0.0034781466	0.0018637695
i	0.0013944028	0.05721292	0.04360257	0.050371047	0.09735438	0.13475338	0.07533345	0.0337926	0.25928164	0.24166046	0.005243185
a	8.767462e-06	0.011789279	0.0049936567	0.024961427	0.04363983	0.25712842	0.14325552	0.034469638	0.4740984	0.0041137463	0.0015413299
m	7.387304e-05	0.01442489	0.0029801074	0.009032722	0.04678869	0.12271018	0.12714228	0.52134943	0.15328565	0.0010029535	0.0012093222
m	0.007877235	0.055851705	0.041367587	0.044681918	0.016696047	0.06307486	0.06727256	0.007993284	0.09408312	0.5886867	0.012414916
è	0.010434287	0.005149583	0.021025939	0.17850807	0.039836004	0.32375866	0.26696253	0.0030414949	0.14902551	0.0022478246	1.008359e-05
n	4.0630453e-06	0.006500495	0.00078534975	0.004993703	0.015410498	0.07794991	0.051814977	0.24250558	0.49502188	0.025723396	0.07929011
i	7.381797e-06	0.004060748	0.00457532	0.012732041	0.038431123	0.049386837	0.06594643	0.07177209	0.3354051	0.41456756	0.003115319
à	5.3969716e-06	0.006202302	0.0020510037	0.009799126	0.022582235	0.09700839	0.06470255	0.1298938	0.5462385	0.046735417	0.074781336
t	1.4169734e-06	0.0009798559	3.5931953e-05	0.00018677331	0.0042042737	0.0056617814	0.005790903	0.9508567	0.029425576	0.00073855347	0.00211811
t	0.0004990285	0.016929518	0.011891031	0.0126288645	0.007650142	0.015248682	0.022404943	0.006160537	0.0508366	0.84230584	0.013444818
o	0.0028361722	0.0039034095	0.009442131	0.059408538	0.022430504	0.2007922	0.26145118	0.034871593	0.35045275	0.054200217	0.00021130005
