 	che	non	li	aspettiamo	</S>
n	1.3099057e-06	1.9069267e-06	1.2949875e-05	0.043592837	0.95639104
a	0.20119846	0.54672325	0.16708565	0.07650468	0.008487939
m	0.082485385	0.3847763	0.52934605	9.789008e-05	0.0032944193
i	0.084971465	0.532735	0.37958145	0.0023228743	0.00038919508
t	0.040079873	0.78972393	0.16315675	0.0003262447	0.006713194
u	0.018099379	0.4035122	0.4736424	0.08476527	0.019980742
s	0.06225641	0.7024181	0.20255354	0.010655408	0.022116512
m	0.009257697	0.07289677	0.055614244	0.848005	0.014226338
ì	0.7285696	0.18714125	0.0669784	0.017100524	0.00021018222
n	0.007890817	0.08266922	0.8323918	0.042288873	0.03475935
o	0.0006044142	0.05887796	0.3249617	0.5992393	0.016316688
m	0.0005414319	0.014172237	0.022823881	0.1770485	0.7854139
e	0.064243935	0.23497508	0.08731835	0.6080195	0.0054431297
</S>	0.00029974963	0.009104895	0.03457782	0.2606406	0.695377
