 	il	morto	si	piange	</S>
o	2.7538235e-07	9.678467e-05	1.5124618e-05	0.0027456891	0.99714214
a	0.0032986184	0.08521503	0.90364784	0.0001535832	0.0076848487
p	9.6638774e-05	0.01816241	0.9798162	1.6503896e-05	0.0019083088
e	0.00017066525	0.7532069	0.24499454	0.00039188357	0.0012359897
t	5.4834312e-05	0.0062526376	0.9909876	9.1082984e-05	0.0026138404
a	0.0009511238	0.5688936	0.10021374	0.30391788	0.02602364
m	0.0009772844	0.78995305	0.20063671	0.0042067994	0.00422608
m	0.002147781	0.29309103	0.011021768	0.6879437	0.0057957466
è	0.0003929812	0.99897575	5.6166687e-06	0.0006254122	2.170721e-07
n	1.4933519e-06	0.027498975	0.96036667	0.0021334675	0.009999441
o	8.506966e-06	0.0026089747	0.31444022	0.66471714	0.01822516
i	1.3303376e-05	0.0036022514	0.94863796	0.0015560553	0.046190366
k	2.0601196e-07	0.0021334456	0.9926455	0.0005593808	0.004661496
l	0.00022057557	0.04694689	0.0036051201	0.9443682	0.0048592715
è	0.00045101732	0.72127616	0.00071269256	0.27754658	1.3540749e-05
e	5.76793e-07	0.009051257	0.40328678	0.0019453601	0.585716
t	1.1388324e-08	0.0011384106	0.9325175	0.0016709331	0.06467308
e	0.00010360478	0.018608978	0.0029953246	0.9731461	0.005146001
</S>	1.0696725e-06	0.024945745	0.061395947	0.018873401	0.8947838
